measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,E
1,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,G
3,G:maj,G
3,G:maj,G
3,G:maj,G
3,G:maj,G
3,G:maj,E
4,C:maj,C
4,C:maj,G
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,E
5,C:maj,G
6,C:maj,G
6,C:maj,G
6,C:maj,G
6,C:maj,E
7,G:maj,G
7,G:maj,G
7,G:maj,G
7,G:maj,G
8,C:maj,E
9,F:maj,F
9,F:maj,F
9,F:maj,F
9,F:maj,F
9,F:maj,A
10,F:maj,A
10,F:maj,A
10,F:maj,A
11,C:maj,G
11,C:maj,G
11,C:maj,G
11,C:maj,G
11,C:maj,G
11,C:maj,E
12,C:maj,E
13,C:maj,C
13,C:maj,C
13,C:maj,C
13,C:maj,E
13,C:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,G
15,G:maj,G
16,C:maj,C
17,F:maj,A
17,F:maj,A
17,F:maj,A
18,C:maj,G
18,C:maj,G
19,G:maj,G
19,G:maj,G
19,G:maj,G
20,C:maj,G
20,C:maj,G
20,C:maj,G
20,C:maj,G
20,C:maj,G
21,F:maj,A
21,F:maj,A
21,F:maj,A
22,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,G
23,G:maj,G
23,G:maj,G
23,G:maj,G
23,G:maj,G
24,C:maj,G
25,C:maj,G
