measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,E
2,G:maj,F
2,G:maj,F
3,C:maj,G
3,C:maj,F
3,C:maj,E
4,F:maj,D
4,F:maj,E
4,F:maj,F
5,C:maj,G
5,C:maj,C
5,C:maj,F
6,G:maj,E
6,G:maj,D
7,C:maj,C
8,C:maj,C
9,C:maj,E
9,C:maj,E
9,C:maj,E
10,G:maj,F
10,G:maj,F
11,C:maj,G
11,C:maj,F
11,C:maj,E
12,F:maj,D
12,F:maj,E
12,F:maj,F
13,C:maj,G
13,C:maj,C
13,C:maj,F
14,G:maj,E
14,G:maj,D
15,C:maj,C
16,C:maj,G
16,C:maj,G
16,C:maj,E
17,C:maj,G
17,C:maj,C
18,C:maj,G
18,C:maj,G
18,C:maj,E
19,C:maj,G
19,C:maj,G
20,F:maj,G
20,F:maj,A
21,F:maj,G
21,F:maj,G
21,F:maj,F
22,G:maj,E
22,G:maj,E
23,G:maj,D
24,C:maj,E
24,C:maj,E
24,C:maj,E
25,G:maj,F
25,G:maj,F
26,C:maj,G
26,C:maj,F
26,C:maj,E
27,F:maj,D
27,F:maj,E
27,F:maj,F
28,C:maj,G
28,C:maj,C
28,C:maj,F
29,G:maj,E
29,G:maj,D
30,C:maj,C
