measure,chord,note
1,A:min,A
1,A:min,A
1,A:min,G
1,A:min,G
2,A:min,F
2,A:min,G
2,A:min,E
3,A:min,A
3,A:min,A
3,A:min,G
3,A:min,G
4,A:min,F
4,A:min,G
4,A:min,E
4,A:min,E
5,D:min,F
6,E:min,G
6,E:min,G
6,E:min,A
7,A:min,A
7,A:min,E
9,A:min,A
9,A:min,A
9,A:min,G
9,A:min,G
10,A:min,F
10,A:min,G
10,A:min,E
10,A:min,E
11,A:min,A
11,A:min,A
11,A:min,A
11,A:min,G
11,A:min,G
12,A:min,F
12,A:min,G
12,A:min,E
12,A:min,E
13,D:min,F
13,D:min,F
14,E:min,G
14,E:min,G
14,E:min,A
15,A:min,E
16,A:min,A
17,F:maj,A
17,F:maj,A
17,F:maj,A
17,F:maj,A
18,E:min,G
18,E:min,E
18,E:min,G
18,E:min,A
19,A:min,A
19,A:min,E
21,F:maj,A
21,F:maj,A
21,F:maj,A
21,F:maj,A
22,E:min,B
22,E:min,A
22,E:min,G
22,E:min,G
23,D:min,A
24,G:maj,E
24,G:maj,E
24,G:maj,C
24,G:maj,B
25,A:min,B
25,A:min,A
25,A:min,A
26,A:min,E
26,A:min,C
26,A:min,B
27,D:min,A
28,D:min,E
28,D:min,C
28,D:min,B
29,F:maj,A
30,F:maj,F
30,F:maj,F
30,F:maj,G
31,C:maj,E
32,E:maj,E
32,E:maj,C
32,E:maj,B
33,A:min,B
33,A:min,A
34,A:min,E
34,A:min,C
34,A:min,B
35,D:min,A
36,D:min,E
36,D:min,C
36,D:min,B
37,F:maj,A
39,D:min,B
39,D:min,B
39,D:min,A
40,G:maj,B
40,G:maj,C
41,A:min,A
