measure,chord,note
2,G:maj,F
2,G:maj,E
2,G:maj,D
2,G:maj,E
2,G:maj,F
2,G:maj,E
2,G:maj,D
2,G:maj,E
3,G:maj,F
3,G:maj,G
4,C:maj,G
4,C:maj,F
4,C:maj,E
4,C:maj,F
4,C:maj,G
4,C:maj,F
4,C:maj,E
4,C:maj,F
5,C:maj,G
5,C:maj,E
6,F:maj,C
6,F:maj,B
6,F:maj,A
6,F:maj,A
6,F:maj,B
6,F:maj,C
6,F:maj,D
7,E:min,B
7,E:min,A
7,E:min,G
7,E:min,G
7,E:min,G
8,D:min,A
8,D:min,G
8,D:min,F
8,D:min,E
8,D:min,D
8,D:min,E
8,D:min,F
8,D:min,D
9,G:maj,G
9,G:maj,D
9,G:maj,D#
10,D:min,D
10,D:min,C
10,D:min,B
10,D:min,C
10,D:min,D
10,D:min,C
10,D:min,B
10,D:min,C
11,D:min,D
11,D:min,E
12,A:min,E
12,A:min,D
12,A:min,C
12,A:min,D
12,A:min,E
12,A:min,D
12,A:min,C
12,A:min,D
13,A:min,E
13,A:min,F
14,D:min,D
14,D:min,C
14,D:min,B
14,D:min,C
14,D:min,D
14,D:min,B
15,A:min,C
15,A:min,B
15,A:min,A
15,A:min,B
15,A:min,C
15,A:min,A
16,F:maj,C
16,F:maj,A
16,F:maj,C
16,F:maj,D
16,F:maj,B
16,F:maj,F#
16,F:maj,G#
16,F:maj,E
17,A:min,A
17,A:min,E
17,A:min,D
18,A:min,C
19,A:min,C
19,A:min,C
19,A:min,C
19,A:min,B
19,A:min,A
19,A:min,G#
20,A:min,B
20,A:min,A
20,A:min,A
20,A:min,A
21,A:min,A
21,A:min,G#
21,A:min,G
21,A:min,F#
21,A:min,F
21,A:min,E
21,A:min,D
21,A:min,C#
22,D:min,D
22,D:min,A
22,D:min,G#
23,G:maj,A
23,G:maj,F
23,G:maj,A
23,G:maj,G#
23,G:maj,A
23,G:maj,F
23,G:maj,A
23,G:maj,G#
24,C:maj,A
24,C:maj,E
24,C:maj,A
24,C:maj,G#
24,C:maj,G
24,C:maj,F#
24,C:maj,F
24,C:maj,E
25,E:maj,F
25,E:maj,E
25,E:maj,E
25,E:maj,D#
25,E:maj,E
25,E:maj,D
25,E:maj,D
25,E:maj,C#
26,A:min,D
26,A:min,C
26,A:min,C
26,A:min,E
26,A:min,D
27,A:min,C
28,A:min,C
28,A:min,E
28,A:min,C
28,A:min,B
28,A:min,A
28,A:min,G#
29,A:min,B
29,A:min,A
29,A:min,A
29,A:min,A
30,A:maj,A
30,A:maj,G#
30,A:maj,G
30,A:maj,F#
30,A:maj,F
30,A:maj,E
30,A:maj,D
30,A:maj,C#
31,D:min,D
31,D:min,A
31,D:min,G#
32,G:maj,A
32,G:maj,F
32,G:maj,A
32,G:maj,G#
32,G:maj,A
32,G:maj,F
32,G:maj,A
32,G:maj,G#
33,C:maj,A
33,C:maj,E
33,C:maj,A
33,C:maj,G#
33,C:maj,G
33,C:maj,F#
33,C:maj,F
33,C:maj,E
34,E:maj,F
34,E:maj,E
34,E:maj,D
34,E:maj,B
34,E:maj,C
35,A:min,A
36,D:min,D
36,D:min,C
36,D:min,B
37,A:min,A
37,A:min,G
37,A:min,F
38,E:maj,E
38,E:maj,G#
39,A:min,A
