measure,chord,note
2,C:maj,E
3,C:maj,E
3,C:maj,E
3,C:maj,F
3,C:maj,E
4,G:maj,D
5,G:maj,D
5,G:maj,D
5,G:maj,E
6,D:min,F
7,G:maj,F
7,G:maj,A
7,G:maj,G
7,G:maj,F
8,C:maj,E
9,C:maj,E
9,C:maj,F
9,C:maj,G
10,F:maj,A
11,F:maj,A
11,F:maj,C
11,F:maj,B
11,F:maj,A
12,C:maj,G
13,C:maj,G
13,C:maj,E
13,C:maj,F
13,C:maj,E
14,G:maj,D
15,G:maj,D
15,G:maj,F
15,G:maj,E
15,G:maj,D
16,C:maj,C
17,C:maj,C
17,C:maj,C
17,C:maj,F
17,C:maj,G
18,F:maj,A
19,G:maj,A
19,G:maj,A
19,G:maj,B
19,G:maj,A
20,C:maj,G
21,C:maj,G
21,C:maj,A#
21,C:maj,A
21,C:maj,G
22,D:min,G
22,D:min,F
22,D:min,F
22,D:min,F
22,D:min,G
23,A:maj,A
23,A:maj,A
23,A:maj,A
23,A:maj,G
23,A:maj,E
24,D:maj,D
25,G:maj,D
25,G:maj,C
25,G:maj,D
26,C:maj,E
27,C:maj,E
27,C:maj,E
27,C:maj,F
27,C:maj,E
28,G:maj,D
29,G:maj,D
29,G:maj,D
29,G:maj,E
30,D:min,F
31,G:maj,F
31,G:maj,A
31,G:maj,G
31,G:maj,F
32,C:maj,E
33,C:maj,E
33,C:maj,F
33,C:maj,G
34,F:maj,A
35,F:maj,A
35,F:maj,C
35,F:maj,B
35,F:maj,A
36,C:maj,G
37,C:maj,G
37,C:maj,E
37,C:maj,F
37,C:maj,E
38,G:maj,D
39,G:maj,D
39,G:maj,F
39,G:maj,E
39,G:maj,D
40,C:maj,E
40,C:maj,D
40,C:maj,C
40,C:maj,C
41,C:maj,C
41,C:maj,E
41,C:maj,F
41,C:maj,E
42,G:maj,D
43,G:maj,D
43,G:maj,F
43,G:maj,E
43,G:maj,D
44,C:maj,E
44,C:maj,D
44,C:maj,C
44,C:maj,C
45,C:maj,C
