measure,chord,note
1,C:maj,G
1,C:maj,G
1,C:maj,G
1,C:maj,G
2,C:maj,A
2,C:maj,G
2,C:maj,C
2,C:maj,C
2,C:maj,C
3,C:maj,G
3,C:maj,G
3,C:maj,G
3,C:maj,G
4,C:maj,A
4,C:maj,E
4,C:maj,G
4,C:maj,G
4,C:maj,G
5,D:min,G
5,D:min,G
5,D:min,G
6,D:min,G
6,D:min,G
6,D:min,G
6,D:min,F
6,D:min,F
7,C:maj,F
9,C:maj,G
9,C:maj,G
10,C:maj,A
10,C:maj,G
10,C:maj,E
10,C:maj,E
10,C:maj,C
11,C:maj,E
11,C:maj,G
12,C:maj,G
12,C:maj,E
12,C:maj,G
12,C:maj,G
12,C:maj,A
13,D:min,G
13,D:min,G
13,D:min,G
14,D:min,G
14,D:min,G
14,D:min,G
14,D:min,F
14,D:min,F
15,C:maj,E
16,D:min,A
16,D:min,A
16,D:min,A
16,D:min,A
16,D:min,A
17,G:maj,A
17,G:maj,G
17,G:maj,G
17,G:maj,G
17,G:maj,A
18,C:maj,G
18,C:maj,G
18,C:maj,E
18,C:maj,E
18,C:maj,A#
19,C:maj,A#
20,D:min,A
20,D:min,A
20,D:min,A
20,D:min,G
21,G:maj,G
21,G:maj,A
21,G:maj,G
21,G:maj,G
22,C:maj,G
23,C:maj,C
24,D:min,A
24,D:min,G
24,D:min,A
24,D:min,G
24,D:min,A
24,D:min,G
25,G:maj,G
25,G:maj,G
25,G:maj,A
25,G:maj,G
26,C:maj,G
26,C:maj,G
26,C:maj,G
26,C:maj,E
26,C:maj,C
26,C:maj,A#
27,C:maj,A#
28,D:min,G
28,D:min,A
28,D:min,G
28,D:min,A
28,D:min,G
28,D:min,A
28,D:min,G
29,G:maj,G
29,G:maj,A
29,G:maj,A
29,G:maj,E
29,G:maj,D
30,C:maj,C
31,C:maj,C
32,C:maj,G
33,D:min,G
33,D:min,G
33,D:min,G
33,D:min,G
33,D:min,G
33,D:min,G
34,G:maj,G
34,G:maj,G
34,G:maj,G
34,G:maj,F
35,C:maj,F
35,C:maj,E
36,C:maj,E
36,C:maj,G
