measure,chord,note
2,A:maj,A
2,A:maj,G
2,A:maj,G
2,A:maj,C
2,A:maj,B
3,F:maj,A
3,F:maj,G
3,F:maj,A
3,F:maj,A
3,F:maj,C
4,F:maj,A
4,F:maj,G
4,F:maj,G
4,F:maj,G
4,F:maj,C
4,F:maj,E
5,C:maj,E
5,C:maj,G
5,C:maj,C
5,C:maj,B
6,A:maj,A
6,A:maj,G
6,A:maj,G
6,A:maj,C
6,A:maj,B
7,F:maj,A
7,F:maj,G
7,F:maj,G
7,F:maj,D
7,F:maj,E
8,F:maj,F
8,F:maj,E
8,F:maj,E
8,F:maj,E
8,F:maj,D
8,F:maj,C
12,C:maj,C
12,C:maj,B
13,A:maj,A
13,A:maj,G
13,A:maj,G
13,A:maj,C
13,A:maj,B
14,F:maj,A
14,F:maj,G
14,F:maj,A
14,F:maj,A
14,F:maj,C
15,F:maj,A
15,F:maj,G
15,F:maj,G
15,F:maj,G
15,F:maj,C
15,F:maj,E
16,C:maj,E
16,C:maj,G
16,C:maj,C
16,C:maj,B
17,A:maj,A
17,A:maj,G
17,A:maj,G
17,A:maj,C
17,A:maj,B
18,F:maj,A
18,F:maj,G
18,F:maj,G
18,F:maj,E
18,F:maj,F
19,F:maj,F
19,F:maj,E
19,F:maj,E
19,F:maj,E
19,F:maj,D
19,F:maj,C
20,C:maj,C
20,C:maj,B
22,F:maj,G
22,F:maj,G
22,F:maj,G
22,F:maj,G
23,C:maj,A
23,C:maj,G
23,C:maj,G
23,C:maj,G
23,C:maj,C
24,F:maj,G
24,F:maj,G
24,F:maj,G
24,F:maj,G
25,C:maj,A
25,C:maj,G
25,C:maj,G
25,C:maj,G
25,C:maj,C
26,F:maj,D
26,F:maj,G
26,F:maj,G
26,F:maj,G
26,F:maj,G
26,F:maj,G
27,C:maj,A
27,C:maj,G
27,C:maj,G
27,C:maj,E
27,C:maj,F
28,F:maj,F
28,F:maj,E
28,F:maj,E
28,F:maj,E
28,F:maj,D
28,F:maj,C
29,C:maj,C
29,C:maj,D
29,C:maj,E
30,F:maj,F
30,F:maj,E
30,F:maj,E
30,F:maj,E
30,F:maj,D
30,F:maj,C
31,C:maj,C
31,C:maj,D
31,C:maj,E
32,F:maj,F
32,F:maj,E
32,F:maj,E
32,F:maj,E
32,F:maj,D
32,F:maj,C
42,C:maj,C
42,C:maj,B
43,A:maj,A
43,A:maj,G
43,A:maj,G
43,A:maj,C
43,A:maj,B
44,F:maj,B
44,F:maj,A
44,F:maj,G
44,F:maj,A
44,F:maj,C
45,F:maj,A
45,F:maj,G
45,F:maj,G
45,F:maj,G
45,F:maj,C
45,F:maj,E
46,C:maj,E
46,C:maj,G
46,C:maj,C
46,C:maj,B
47,A:maj,A
47,A:maj,G
47,A:maj,G
47,A:maj,C
47,A:maj,B
48,F:maj,A
48,F:maj,G
48,F:maj,G
48,F:maj,E
48,F:maj,F
49,F:maj,F
49,F:maj,E
49,F:maj,E
49,F:maj,E
49,F:maj,D
49,F:maj,C
50,C:maj,C
50,C:maj,B
51,C:maj,C
51,C:maj,D
51,C:maj,E
52,F:maj,F
52,F:maj,E
52,F:maj,E
52,F:maj,E
52,F:maj,D
52,F:maj,C
53,C:maj,C
53,C:maj,D
53,C:maj,E
54,G:maj,F
54,G:maj,E
54,G:maj,E
54,G:maj,E
54,G:maj,D
54,G:maj,C
55,C:maj,C
56,F:maj,C
57,F:maj,C
58,F:maj,C
59,C:maj,C
