measure,chord,note
2,C:maj,C
2,C:maj,A#
2,C:maj,C
2,C:maj,A#
2,C:maj,C
2,C:maj,E
3,F:maj,C
3,F:maj,D#
3,F:maj,F
3,F:maj,F
3,F:maj,D#
3,F:maj,D
3,F:maj,C
3,F:maj,A
4,C:maj,C
5,C:maj,C
5,C:maj,C
6,F:maj,D#
6,F:maj,C
6,F:maj,G
6,F:maj,F
6,F:maj,D#
6,F:maj,C
7,F:maj,C
7,F:maj,D#
7,F:maj,F
7,F:maj,F
7,F:maj,D#
7,F:maj,D
7,F:maj,C
7,F:maj,A
8,C:maj,C
9,C:maj,C
9,C:maj,C
10,G:maj,C
10,G:maj,C
10,G:maj,C
10,G:maj,A#
10,G:maj,C
10,G:maj,C
10,G:maj,A#
10,G:maj,G
10,G:maj,G
11,F:maj,C
11,F:maj,D#
11,F:maj,D#
11,F:maj,C
11,F:maj,G
11,F:maj,D#
11,F:maj,F
11,F:maj,D#
11,F:maj,C
12,C:maj,E
12,C:maj,F
12,C:maj,E
13,C:maj,F
13,C:maj,E
13,C:maj,E
