measure,chord,note
1,E:maj,E
1,E:maj,D#
1,E:maj,D
1,E:maj,C#
1,E:maj,D
1,E:maj,C#
1,E:maj,C
1,E:maj,B
2,E:maj,C
2,E:maj,B
2,E:maj,A#
2,E:maj,A
2,E:maj,G#
2,E:maj,G
2,E:maj,F#
2,E:maj,F
3,E:maj,E
3,E:maj,D#
3,E:maj,D
3,E:maj,C#
3,E:maj,D
3,E:maj,C#
3,E:maj,C
3,E:maj,B
4,E:maj,C
4,E:maj,B
4,E:maj,A#
4,E:maj,A
4,E:maj,G#
4,E:maj,G
4,E:maj,F#
4,E:maj,F
5,E:maj,E
5,E:maj,D#
5,E:maj,D
5,E:maj,C#
5,E:maj,D
5,E:maj,C#
5,E:maj,C
5,E:maj,B
6,E:maj,E
6,E:maj,D#
6,E:maj,D
6,E:maj,C#
6,E:maj,D
6,E:maj,C#
6,E:maj,C
6,E:maj,B
7,A:min,E
7,A:min,D#
7,A:min,D
7,A:min,C#
7,A:min,C
7,A:min,F
7,A:min,E
7,A:min,D#
8,D:maj,E
8,D:maj,D#
8,D:maj,D
8,D:maj,C#
8,D:maj,C
8,D:maj,C#
8,D:maj,D
8,D:maj,D#
9,A:min,E
9,A:min,D#
9,A:min,D
9,A:min,C#
9,A:min,C
9,A:min,F
9,A:min,E
9,A:min,D#
10,A:min,E
10,A:min,D#
10,A:min,D
10,A:min,C#
10,A:min,C
10,A:min,C#
10,A:min,D
10,A:min,D#
11,A:min,E
11,A:min,D#
11,A:min,D
11,A:min,C#
11,A:min,D
11,A:min,C#
11,A:min,C
11,A:min,B
12,A:min,C
12,A:min,C#
12,A:min,D
12,A:min,D#
12,A:min,E
12,A:min,F
12,A:min,E
12,A:min,D#
13,A:min,E
13,A:min,D#
13,A:min,D
13,A:min,C#
13,A:min,D
13,A:min,C#
13,A:min,C
13,A:min,B
14,A:min,C
14,A:min,C#
14,A:min,D
14,A:min,D#
14,A:min,E
14,A:min,F#
14,A:min,G
14,A:min,G#
15,A:maj,A
15,A:maj,G#
15,A:maj,G
15,A:maj,F#
15,A:maj,F
15,A:maj,A#
15,A:maj,A
15,A:maj,G#
16,G:maj,A
16,G:maj,G#
16,G:maj,G
16,G:maj,F#
16,G:maj,F
16,G:maj,F#
16,G:maj,G
16,G:maj,G#
17,A:min,A
17,A:min,G#
17,A:min,G
17,A:min,F#
17,A:min,F
17,A:min,A#
17,A:min,A
17,A:min,G#
18,G:maj,A
18,G:maj,G#
18,G:maj,G
18,G:maj,F#
18,G:maj,F
18,G:maj,F#
18,G:maj,G
18,G:maj,G#
19,D:min,A
19,D:min,G#
19,D:min,G
19,D:min,F#
19,D:min,G
19,D:min,F#
19,D:min,F
19,D:min,E
20,D:min,F
20,D:min,F#
20,D:min,G
20,D:min,G#
20,D:min,A
20,D:min,A#
20,D:min,A
20,D:min,G#
21,D:min,A
21,D:min,G#
21,D:min,G
21,D:min,F#
21,D:min,G
21,D:min,F#
21,D:min,F
21,D:min,E
22,D:min,F
22,D:min,F#
22,D:min,G
22,D:min,G#
22,D:min,A
22,D:min,A#
22,D:min,A
22,D:min,G#
23,D:min,A
23,D:min,A
23,D:min,A
23,D:min,A
23,D:min,A
23,D:min,A
23,D:min,A
23,D:min,A
24,A#:maj,A#
24,A#:maj,A
24,A#:maj,A#
24,A#:maj,A#
24,A#:maj,A#
24,A#:maj,A
24,A#:maj,A#
24,A#:maj,A#
25,D:min,A
25,D:min,A
25,D:min,A
25,D:min,A
25,D:min,A
25,D:min,A
25,D:min,A
25,D:min,A
26,A#:maj,A#
26,A#:maj,A
26,A#:maj,A#
26,A#:maj,A#
26,A#:maj,A#
26,A#:maj,A
26,A#:maj,A#
26,A#:maj,A#
27,A:maj,A
27,A:maj,A#
27,A:maj,A
27,A:maj,G#
27,A:maj,A
27,A:maj,A#
27,A:maj,A
27,A:maj,G#
28,A:maj,A
28,A:maj,A#
28,A:maj,A
28,A:maj,G#
28,A:maj,A
28,A:maj,A#
28,A:maj,A
28,A:maj,G#
29,F:maj,A
29,F:maj,A#
29,F:maj,B
29,F:maj,C
29,F:maj,C#
29,F:maj,C
29,F:maj,B
29,F:maj,A#
30,F:maj,A
30,F:maj,A#
30,F:maj,B
30,F:maj,C
30,F:maj,C#
30,F:maj,C
30,F:maj,B
30,F:maj,A#
31,D:maj,A
31,D:maj,D
31,D:maj,D
31,D:maj,D
31,D:maj,D
31,D:maj,D
31,D:maj,D
31,D:maj,D
32,D#:maj,D#
32,D#:maj,D
32,D#:maj,D#
32,D#:maj,D#
32,D#:maj,D#
32,D#:maj,D
32,D#:maj,D#
32,D#:maj,D#
33,D:maj,D
33,D:maj,D
33,D:maj,D
33,D:maj,D
33,D:maj,D
33,D:maj,D
33,D:maj,D
33,D:maj,D
34,D#:maj,D#
34,D#:maj,D
34,D#:maj,D#
34,D#:maj,D#
34,D#:maj,D#
34,D#:maj,D
34,D#:maj,D#
34,D#:maj,D#
35,D#:maj,D
35,D#:maj,D#
35,D#:maj,D
35,D#:maj,C#
35,D#:maj,D
35,D#:maj,D#
35,D#:maj,D
35,D#:maj,C#
36,D#:maj,D
36,D#:maj,D#
36,D#:maj,D
36,D#:maj,C#
36,D#:maj,D
36,D#:maj,D#
36,D#:maj,D
36,D#:maj,C#
37,D:maj,D
37,D:maj,D#
37,D:maj,E
37,D:maj,F
37,D:maj,F#
37,D:maj,F
37,D:maj,E
37,D:maj,D#
38,D:maj,D
38,D:maj,D#
38,D:maj,E
38,D:maj,F
38,D:maj,F#
38,D:maj,F
38,D:maj,E
38,D:maj,D#
39,G:min,D
39,G:min,C#
39,G:min,C
39,G:min,B
39,G:min,E
39,G:min,D
39,G:min,C#
40,C:min,D
40,C:min,C#
40,C:min,C
40,C:min,B
40,C:min,A#
40,C:min,B
40,C:min,C
40,C:min,C#
41,G:min,D
41,G:min,C#
41,G:min,C
41,G:min,B
41,G:min,C
41,G:min,B
41,G:min,A#
41,G:min,A
42,G:min,A#
42,G:min,B
42,G:min,C
42,G:min,C#
42,G:min,C
42,G:min,C#
42,G:min,D
42,G:min,D#
43,E:maj,E
43,E:maj,D#
43,E:maj,D
43,E:maj,C#
43,E:maj,D
43,E:maj,C#
43,E:maj,C
43,E:maj,B
44,G:min,C
44,G:min,B
44,G:min,A#
44,G:min,A
44,G:min,G#
44,G:min,G
44,G:min,F#
44,G:min,F
45,E:maj,E
45,E:maj,F
45,E:maj,E
45,E:maj,D#
45,E:maj,E
45,E:maj,F
45,E:maj,E
45,E:maj,D#
46,E:maj,E
46,E:maj,F
46,E:maj,E
46,E:maj,D#
46,E:maj,E
46,E:maj,F
46,E:maj,E
46,E:maj,D#
47,E:maj,E
47,E:maj,F
47,E:maj,E
47,E:maj,D#
47,E:maj,F
47,E:maj,E
47,E:maj,D#
48,E:maj,E
48,E:maj,F
48,E:maj,E
48,E:maj,D#
48,E:maj,E
48,E:maj,F
48,E:maj,E
48,E:maj,D#
49,A:min,E
49,A:min,D#
49,A:min,D
49,A:min,C#
49,A:min,D
49,A:min,C#
49,A:min,C
49,A:min,B
50,A:min,C
50,A:min,B
50,A:min,A#
50,A:min,A
50,A:min,G#
50,A:min,G
50,A:min,F#
50,A:min,F
51,E:maj,E
51,E:maj,C
52,E:maj,A
52,E:maj,F
52,E:maj,A
52,E:maj,C
53,E:maj,E
53,E:maj,E
53,E:maj,C
54,E:maj,A
54,E:maj,F
54,E:maj,A
54,E:maj,C
55,E:maj,E
55,E:maj,F
55,E:maj,F#
55,E:maj,G
55,E:maj,G#
55,E:maj,A
55,E:maj,A#
55,E:maj,B
56,E:maj,C
56,E:maj,C#
56,E:maj,D
56,E:maj,D#
56,E:maj,E
56,E:maj,F
56,E:maj,F#
56,E:maj,G
57,E:maj,G#
57,E:maj,A
57,E:maj,A#
57,E:maj,B
57,E:maj,C
57,E:maj,C#
57,E:maj,D
57,E:maj,D#
58,A:min,E
58,A:min,F
58,A:min,E
58,A:min,D#
58,A:min,E
58,A:min,F
58,A:min,E
58,A:min,D#
59,A:min,E
59,A:min,D#
59,A:min,D
59,A:min,C#
59,A:min,C
59,A:min,F
59,A:min,E
59,A:min,D#
60,D:min,E
60,D:min,D#
60,D:min,D
60,D:min,C#
60,D:min,C
60,D:min,C#
60,D:min,D
60,D:min,D#
61,A:min,E
61,A:min,D#
61,A:min,D
61,A:min,C#
61,A:min,C
61,A:min,F
61,A:min,E
61,A:min,D#
62,A:min,E
62,A:min,D#
62,A:min,D
62,A:min,C#
62,A:min,C
62,A:min,C#
62,A:min,D
62,A:min,D#
63,A:min,E
63,A:min,D#
63,A:min,D
63,A:min,C#
63,A:min,D
63,A:min,C#
63,A:min,C
63,A:min,B
64,A:min,C
64,A:min,C#
64,A:min,D
64,A:min,D#
64,A:min,E
64,A:min,F
64,A:min,E
64,A:min,D#
65,A:min,E
65,A:min,D#
65,A:min,D
65,A:min,C#
65,A:min,D
65,A:min,C#
65,A:min,C
65,A:min,B
66,A:min,C
66,A:min,C#
66,A:min,D
66,A:min,D#
66,A:min,E
66,A:min,F#
66,A:min,G
66,A:min,G#
67,A:maj,A
67,A:maj,G#
67,A:maj,G
67,A:maj,F#
67,A:maj,F
67,A:maj,A#
67,A:maj,A
67,A:maj,G#
68,G:maj,A
68,G:maj,G#
68,G:maj,G
68,G:maj,F#
68,G:maj,F
68,G:maj,F#
68,G:maj,G
68,G:maj,G#
69,D:min,A
69,D:min,G#
69,D:min,G
69,D:min,F#
69,D:min,F
69,D:min,A#
