measure,chord,note
1,G:maj,B
1,G:maj,C
1,G:maj,D
1,G:maj,C
1,G:maj,B
1,G:maj,G
2,G:maj,D
2,G:maj,E
2,G:maj,G
2,G:maj,A
3,G:maj,B
3,G:maj,C
3,G:maj,D
3,G:maj,C
3,G:maj,B
3,G:maj,G
4,D:maj,D
5,G:maj,B
5,G:maj,C
5,G:maj,D
5,G:maj,C
5,G:maj,B
5,G:maj,G
6,G:maj,D
6,G:maj,E
6,G:maj,G
6,G:maj,A
7,G:maj,B
7,G:maj,C
7,G:maj,D
7,G:maj,C
7,G:maj,B
7,G:maj,G
8,G:maj,D
9,A:min,C
9,A:min,B
9,A:min,A
10,D:maj,A
11,A:min,C
11,A:min,B
11,A:min,A
12,D:maj,A
12,D:maj,C
12,D:maj,B
13,G:maj,D
15,G:maj,B
15,G:maj,C
15,G:maj,D
15,G:maj,C
15,G:maj,B
15,G:maj,G
16,G:maj,D
16,G:maj,E
16,G:maj,G
16,G:maj,A
16,G:maj,D
17,G:maj,B
17,G:maj,C
17,G:maj,D
17,G:maj,C
17,G:maj,B
17,G:maj,G
18,D:maj,D
19,G:maj,B
19,G:maj,C
19,G:maj,D
19,G:maj,C
19,G:maj,B
19,G:maj,G
20,G:maj,D
20,G:maj,E
20,G:maj,G
20,G:maj,A
20,G:maj,D
21,G:maj,B
21,G:maj,C
21,G:maj,D
21,G:maj,C
21,G:maj,B
21,G:maj,G
22,D:maj,D
23,A:min,C
23,A:min,B
23,A:min,A
24,D:maj,A
25,A:min,C
25,A:min,B
25,A:min,A
26,D:maj,A
26,D:maj,C
26,D:maj,B
27,G:maj,D
29,A:min,A
29,A:min,B
29,A:min,C
29,A:min,D
29,A:min,E
29,A:min,B
30,B:min,D
30,B:min,E
30,B:min,B
30,B:min,D
30,B:min,C
30,B:min,B
31,C:maj,D
32,C:maj,D
32,C:maj,D
33,A:min,A
33,A:min,B
33,A:min,C
33,A:min,D
33,A:min,E
33,A:min,B
34,D:maj,D
34,D:maj,E
34,D:maj,B
34,D:maj,D
34,D:maj,C
34,D:maj,B
35,G:maj,D
36,G:maj,D
38,G:maj,B
38,G:maj,A
38,G:maj,G
38,G:maj,D
38,G:maj,E
38,G:maj,G
39,D:maj,B
39,D:maj,C
39,D:maj,D
39,D:maj,C
39,D:maj,B
39,D:maj,A
40,G:maj,B
40,G:maj,A
40,G:maj,G
40,G:maj,D
40,G:maj,E
40,G:maj,G
41,D:maj,B
41,D:maj,C
41,D:maj,D
41,D:maj,C
41,D:maj,B
41,D:maj,A
42,G:maj,B
42,G:maj,G
42,G:maj,F#
42,G:maj,D
43,G:maj,D
43,G:maj,B
43,G:maj,A
43,G:maj,F#
44,G:maj,A
44,G:maj,F#
44,G:maj,A
44,G:maj,F#
44,G:maj,A
44,G:maj,F#
44,G:maj,A
44,G:maj,F#
45,G:maj,A
45,G:maj,F#
45,G:maj,A
45,G:maj,F#
45,G:maj,A
45,G:maj,F#
45,G:maj,A
45,G:maj,F#
46,G:maj,A
