measure,chord,note
3,C:maj,G
3,C:maj,G
3,C:maj,A
3,C:maj,C
3,C:maj,A
4,C:maj,G
4,C:maj,G
4,C:maj,C
4,C:maj,D
4,C:maj,E
5,D:min,G
6,G:maj,G
6,G:maj,A
7,D:min,D
8,G:maj,D
8,G:maj,A
9,C:maj,C
10,D:min,C
10,D:min,E
11,C:maj,G
11,C:maj,G
11,C:maj,A
11,C:maj,C
11,C:maj,A
12,C:maj,G
12,C:maj,G
12,C:maj,C
12,C:maj,D
12,C:maj,E
13,D:min,G
14,G:maj,G
14,G:maj,A
15,D:min,D
16,G:maj,D
16,G:maj,A
17,C:maj,C
18,B:maj,C
19,E:min,B
19,E:min,B
19,E:min,B
20,A:min,E
20,A:min,D
20,A:min,C
21,E:min,C
21,E:min,B
21,E:min,A#
22,E:min,B
23,B:maj,B
23,B:maj,A
23,B:maj,A
24,B:maj,A
24,B:maj,G
24,B:maj,F#
25,E:min,G
25,E:min,A
25,E:min,A#
26,G:maj,B
26,G:maj,A
26,G:maj,G#
27,C:maj,G
27,C:maj,G
27,C:maj,A
27,C:maj,C
27,C:maj,A
28,C:maj,G
28,C:maj,G
28,C:maj,C
28,C:maj,D
28,C:maj,E
29,D:min,G
30,G:maj,G
30,G:maj,A
31,D:min,D
32,G:maj,D
32,G:maj,E
33,C:maj,C
34,C:maj,C
34,C:maj,G
34,C:maj,G
34,C:maj,G
35,C:maj,C
