measure,chord,note
2,A:min,A
2,A:min,C
2,A:min,A
3,A:min,F
3,A:min,E
4,B:maj,D#
4,B:maj,E
5,E:maj,B
5,E:maj,E
6,A:min,A
6,A:min,C
6,A:min,A
7,A:min,G
7,A:min,F#
8,D:min,F
8,D:min,E
9,E:maj,G#
9,E:maj,E
10,A:maj,A
10,A:maj,E
10,A:maj,C#
11,A:maj,A
11,A:maj,G
12,D:min,G
12,D:min,F
13,D:min,D
13,D:min,B
14,A:min,F
14,A:min,E
15,E:maj,E
15,E:maj,G#
15,E:maj,B
16,A:min,A
17,A:min,A
17,A:min,G#
17,A:min,A
18,D:min,G
18,D:min,F
19,G:maj,G
19,G:maj,F
19,G:maj,D
20,C:maj,F
20,C:maj,E
20,C:maj,D#
21,C:maj,F
21,C:maj,E
21,C:maj,C
22,D:min,D
23,G:maj,D
23,G:maj,E
23,G:maj,D
23,G:maj,C
23,G:maj,D
24,C:maj,E
25,C:maj,E
25,C:maj,G#
25,C:maj,A
26,D:min,G
26,D:min,F
27,G:maj,G
27,G:maj,F
27,G:maj,D
28,C:maj,F
28,C:maj,E
28,C:maj,D
29,A:min,C
29,A:min,B
29,A:min,A
30,D:min,B
31,D:min,B
31,D:min,B
31,D:min,B
31,D:min,D
31,D:min,F
32,E:maj,E
33,E:maj,E
33,E:maj,E
34,A:min,A
34,A:min,C
34,A:min,A
35,A:min,F
35,A:min,E
36,B:maj,D#
36,B:maj,E
37,E:maj,B
37,E:maj,E
38,A:min,A
38,A:min,C
38,A:min,A
39,A:min,G
39,A:min,F#
40,D:min,F
40,D:min,E
41,E:maj,G#
41,E:maj,E
42,A:maj,A
42,A:maj,E
42,A:maj,C#
43,A:maj,A
43,A:maj,G
44,D:min,G
44,D:min,F
45,D:min,D
45,D:min,B
46,A:min,F
46,A:min,E
47,E:maj,G
47,E:maj,F
47,E:maj,E
48,A:min,A
49,A:min,A
49,A:min,E
50,A:min,A
51,A:min,A
