measure,chord,note
1,A:min,E
1,A:min,F#
2,F#:min,A
2,F#:min,C
2,F#:min,E
3,B:min,E
4,E:maj,E
5,D:min,F
6,A:min,E
7,G:min,F
8,C:maj,E
9,F:maj,E
9,F:maj,D
10,F:maj,D
10,F:maj,E
10,F:maj,D
11,A#:maj,E
12,A#:maj,D
13,C:maj,D
13,C:maj,C
14,C:min,A
14,C:min,G
14,C:min,E
15,B:min,E
16,E:maj,E
17,A:min,E
17,A:min,F#
18,F#:min,A
18,F#:min,C
18,F#:min,E
19,B:min,E
20,E:maj,E
21,D:min,F
22,A:min,E
23,G:min,F
24,C:maj,E
25,F:maj,E
25,F:maj,D
26,F:maj,D
26,F:maj,E
26,F:maj,D
27,A#:maj,E
28,A#:maj,D
29,C:maj,D
29,C:maj,C
30,D:min,A
30,D:min,G
30,D:min,A
31,C:maj,A
32,C:maj,A
32,C:maj,G
32,C:maj,A
33,F:maj,C
33,F:maj,C
33,F:maj,C
34,F:maj,C
34,F:maj,A
35,B:min,C
35,B:min,C
35,B:min,C
36,B:min,C
37,C:maj,A
37,C:maj,A
37,C:maj,A
38,G:min,A
38,G:min,G
39,A:maj,A
39,A:maj,A
39,A:maj,A
40,A:maj,A
41,G:maj,D
41,G:maj,D
41,G:maj,D
42,G:maj,D
42,G:maj,B
43,D:maj,D
43,D:maj,D
43,D:maj,D
44,D:maj,D
45,G:maj,G
45,G:maj,G
46,G:min,G
46,G:min,G
46,G:min,G
46,G:min,G
47,G:maj,G
47,G:maj,G
47,G:maj,G
47,G:maj,G
48,E:maj,G
49,A:min,E
49,A:min,F#
50,F#:min,A
50,F#:min,C
50,F#:min,E
51,B:min,E
52,E:maj,E
53,D:min,F
54,A:min,E
55,G:min,F
56,C:maj,E
57,F:maj,E
57,F:maj,D
58,F:maj,D
58,F:maj,E
58,F:maj,D
59,F:min,G
60,A#:maj,F
61,C:maj,E
61,C:maj,D
62,D:min,C
62,D:min,A
62,D:min,G
63,E:min,G
64,A:maj,G
64,A:maj,A
65,D:maj,C
65,D:maj,E
66,G:maj,E
66,G:maj,D
67,C:maj,C
68,C:maj,C
