measure,chord,note
1,C:maj,G
1,C:maj,E
1,C:maj,F
2,C:maj,G
2,C:maj,C
2,C:maj,B
2,C:maj,C
3,F:maj,D
3,F:maj,C
3,F:maj,B
3,F:maj,A
4,C:maj,G
4,C:maj,B
4,C:maj,C
5,F:maj,D
5,F:maj,C
5,F:maj,B
5,F:maj,A
5,F:maj,A
6,C:maj,G
6,C:maj,C
6,C:maj,E
6,C:maj,G
6,C:maj,A
7,G:maj,G
7,G:maj,F
7,G:maj,E
7,G:maj,F
8,C:maj,G
9,C:maj,G
9,C:maj,E
9,C:maj,F
10,C:maj,G
10,C:maj,C
10,C:maj,B
10,C:maj,C
11,F:maj,D
11,F:maj,C
11,F:maj,B
11,F:maj,A
12,C:maj,G
12,C:maj,B
12,C:maj,C
13,F:maj,D
13,F:maj,C
13,F:maj,B
13,F:maj,A
13,F:maj,A
14,C:maj,G
14,C:maj,C
14,C:maj,E
14,C:maj,G
14,C:maj,A
15,D:min,G
15,D:min,F
15,D:min,E
15,D:min,D
16,C:maj,C
16,C:maj,C
17,F:maj,A
17,F:maj,A
17,F:maj,C
17,F:maj,C
18,C:maj,B
18,C:maj,A
18,C:maj,G
18,C:maj,E
19,D:min,F
19,D:min,A
19,D:min,G
19,D:min,F
20,C:maj,E
20,C:maj,E
21,G:maj,D
21,G:maj,D
21,G:maj,G
21,G:maj,G
22,G:maj,B
22,G:maj,B
22,G:maj,D
22,G:maj,D
22,G:maj,B
23,A:min,D
23,A:min,C
23,A:min,B
23,A:min,A
24,G:maj,G
24,G:maj,G
25,C:maj,G
25,C:maj,E
25,C:maj,F
26,C:maj,G
26,C:maj,C
26,C:maj,B
26,C:maj,C
27,F:maj,D
27,F:maj,C
27,F:maj,B
27,F:maj,A
28,C:maj,G
28,C:maj,B
28,C:maj,C
29,F:maj,D
29,F:maj,C
29,F:maj,B
29,F:maj,A
29,F:maj,A
30,C:maj,G
30,C:maj,C
30,C:maj,E
30,C:maj,G
30,C:maj,A
31,D:min,G
31,D:min,F
31,D:min,E
31,D:min,D
32,C:maj,C
