measure,chord,note
1,C:maj,E
1,C:maj,G
1,C:maj,A
1,C:maj,B
2,C:maj,B
2,C:maj,A
2,C:maj,E
2,C:maj,E
3,A:maj,E
3,A:maj,G
3,A:maj,A
3,A:maj,B
4,A:maj,B
4,A:maj,A
4,A:maj,E
4,A:maj,E
5,D:min,A
5,D:min,C
5,D:min,D
5,D:min,E
6,A#:maj,E
6,A#:maj,D
6,A#:maj,G#
6,A#:maj,G#
7,D:min,D#
7,D:min,E
7,D:min,C
7,D:min,C
7,D:min,C
7,D:min,C
8,C:maj,C
9,C:maj,E
9,C:maj,G
9,C:maj,A
9,C:maj,B
10,C:maj,B
10,C:maj,A
10,C:maj,E
10,C:maj,E
11,A:maj,E
11,A:maj,G
11,A:maj,A
11,A:maj,B
12,A:maj,B
12,A:maj,A
12,A:maj,E
12,A:maj,E
13,D:min,A
13,D:min,C
13,D:min,D
13,D:min,E
14,A#:maj,E
14,A#:maj,D
14,A#:maj,G#
14,A#:maj,G#
15,D:min,D#
15,D:min,E
15,D:min,C
15,D:min,C
15,D:min,C
15,D:min,C
16,C:maj,C
16,C:maj,D#
17,C:maj,E
17,C:maj,C
17,C:maj,D
17,C:maj,D
17,C:maj,C
18,C:maj,E
18,C:maj,C
18,C:maj,D
18,C:maj,D
18,C:maj,C
19,F:maj,A
19,F:maj,C
19,F:maj,E
19,F:maj,D
20,F:maj,A
20,F:maj,C
20,F:maj,C
21,D:maj,F#
21,D:maj,D
21,D:maj,E
21,D:maj,E
21,D:maj,D
22,D:maj,F#
22,D:maj,D
22,D:maj,E
22,D:maj,E
23,D:min,G
23,D:min,F
23,D:min,A
23,D:min,C
23,D:min,E
24,G:maj,E
24,G:maj,D
24,G:maj,D
25,C:maj,E
25,C:maj,G
25,C:maj,A
25,C:maj,B
26,C:maj,B
26,C:maj,A
26,C:maj,E
26,C:maj,E
27,A:maj,E
27,A:maj,G
27,A:maj,A
27,A:maj,B
28,A:maj,B
28,A:maj,A
28,A:maj,E
28,A:maj,E
29,D:min,A
29,D:min,C
29,D:min,D
29,D:min,E
30,A#:maj,E
30,A#:maj,D
30,A#:maj,G#
30,A#:maj,G#
31,D:min,D#
31,D:min,E
31,D:min,C
31,D:min,C
31,D:min,C
31,D:min,C
32,C:maj,C
33,D:min,D#
33,D:min,E
33,D:min,C
33,D:min,C
33,D:min,C
33,D:min,C
34,C:maj,C
