measure,chord,note
1,C:maj,E
1,C:maj,D
1,C:maj,E
2,C:maj,E
2,C:maj,D
2,C:maj,E
3,C:maj,D
3,C:maj,C
3,C:maj,D
3,C:maj,E
4,C:maj,E
4,C:maj,D
4,C:maj,E
5,F:maj,D
5,F:maj,C
5,F:maj,D
5,F:maj,E
6,G:maj,E
6,G:maj,C
6,G:maj,D
7,C:maj,C
8,C:maj,C
9,C:maj,G
9,C:maj,F
9,C:maj,G
10,C:maj,G
10,C:maj,F
10,C:maj,G
11,C:maj,F
11,C:maj,E
11,C:maj,F
11,C:maj,G
12,C:maj,G
12,C:maj,F
12,C:maj,G
13,D:min,F
13,D:min,E
13,D:min,F
13,D:min,G
14,G:maj,G
14,G:maj,E
14,G:maj,F
15,C:maj,E
16,C:maj,E
17,F:maj,F
17,F:maj,G
18,F:maj,A
18,F:maj,B
19,C:maj,C
19,C:maj,C
20,A:min,C
20,A:min,E
20,A:min,G
20,A:min,C
21,G:maj,B
21,G:maj,C
22,D:maj,C
22,D:maj,D
22,D:maj,F#
22,D:maj,B
23,G:maj,A
23,G:maj,A
24,G:maj,A
24,G:maj,B
24,G:maj,C
24,G:maj,D
25,C:maj,E
25,C:maj,D
25,C:maj,E
26,C:maj,E
26,C:maj,D
26,C:maj,E
27,C:maj,D
27,C:maj,C
27,C:maj,D
27,C:maj,E
28,C:maj,E
28,C:maj,D
28,C:maj,E
29,F:maj,D
29,F:maj,C
29,F:maj,D
29,F:maj,E
30,G:maj,E
30,G:maj,C
30,G:maj,D
31,C:maj,C
32,C:maj,C
