measure,chord,note
1,C:maj,B
1,C:maj,D
1,C:maj,C
1,C:maj,B
2,F:maj,B
2,F:maj,C
2,F:maj,A
2,F:maj,A
3,C:maj,D
3,C:maj,C
3,C:maj,B
4,F:maj,B
4,F:maj,C
4,F:maj,A
4,F:maj,A
4,F:maj,G
4,F:maj,F
4,F:maj,E
5,D:min,E
5,D:min,F
5,D:min,D
5,D:min,D
5,D:min,G
5,D:min,F
5,D:min,E
6,G:maj,E
6,G:maj,F
6,G:maj,G
6,G:maj,G
6,G:maj,A
6,G:maj,G
6,G:maj,F
7,A:maj,E
8,D:min,E
8,D:min,C
8,D:min,B
8,D:min,G
9,C:maj,B
9,C:maj,D
9,C:maj,C
9,C:maj,B
10,F:maj,B
10,F:maj,C
10,F:maj,A
10,F:maj,A
11,C:maj,D
11,C:maj,C
11,C:maj,B
12,F:maj,B
12,F:maj,C
12,F:maj,A
12,F:maj,A
12,F:maj,G
12,F:maj,F
12,F:maj,E
13,D:min,E
13,D:min,F
13,D:min,D
13,D:min,D
13,D:min,G
13,D:min,F
13,D:min,E
14,G:maj,E
14,G:maj,F
14,G:maj,G
14,G:maj,G
14,G:maj,A
14,G:maj,G
14,G:maj,F
15,A:maj,E
16,D:min,E
16,D:min,C
16,D:min,B
16,D:min,G
17,C:maj,G
17,C:maj,G
17,C:maj,G
18,F:maj,G
18,F:maj,F
18,F:maj,F
18,F:maj,F
18,F:maj,F
18,F:maj,D
19,G:maj,F
19,G:maj,F
19,G:maj,G
19,G:maj,F
20,C:maj,F
20,C:maj,E
20,C:maj,G
20,C:maj,G
20,C:maj,A
20,C:maj,C
20,C:maj,E
21,C:maj,G
21,C:maj,G
21,C:maj,G
22,F:maj,G
22,F:maj,F
22,F:maj,F
22,F:maj,F
22,F:maj,F
22,F:maj,D
23,G:maj,F
23,G:maj,G
23,G:maj,E
23,G:maj,C
23,G:maj,C
23,G:maj,C
24,C:maj,C
24,C:maj,G
24,C:maj,A
24,C:maj,G
25,C:maj,G
25,C:maj,G
25,C:maj,G
26,F:maj,G
26,F:maj,F
26,F:maj,F
26,F:maj,F
26,F:maj,F
26,F:maj,D
27,G:maj,F
27,G:maj,F
27,G:maj,G
27,G:maj,F
28,C:maj,F
28,C:maj,E
28,C:maj,G
28,C:maj,G
28,C:maj,A
28,C:maj,C
28,C:maj,E
29,C:maj,G
29,C:maj,G
29,C:maj,G
30,F:maj,G
30,F:maj,F
30,F:maj,F
30,F:maj,F
30,F:maj,F
30,F:maj,D
31,G:maj,F
31,G:maj,G
31,G:maj,E
31,G:maj,C
31,G:maj,C
31,G:maj,C
32,C:maj,C
40,C:maj,B
40,C:maj,D
40,C:maj,C
40,C:maj,B
41,F:maj,B
41,F:maj,C
41,F:maj,A
41,F:maj,A
42,C:maj,D
42,C:maj,C
42,C:maj,B
43,F:maj,B
43,F:maj,C
43,F:maj,A
43,F:maj,A
43,F:maj,G
43,F:maj,F
43,F:maj,E
44,D:min,E
44,D:min,F
44,D:min,D
44,D:min,D
44,D:min,G
44,D:min,F
44,D:min,E
45,G:maj,E
45,G:maj,F
45,G:maj,G
45,G:maj,G
45,G:maj,A
45,G:maj,G
45,G:maj,F
46,A:maj,E
47,D:min,E
47,D:min,C
47,D:min,B
47,D:min,G
48,C:maj,B
48,C:maj,D
48,C:maj,C
48,C:maj,B
49,F:maj,B
49,F:maj,C
49,F:maj,A
49,F:maj,A
50,C:maj,D
50,C:maj,C
50,C:maj,B
51,F:maj,B
51,F:maj,C
51,F:maj,A
51,F:maj,A
51,F:maj,G
51,F:maj,F
51,F:maj,E
52,D:min,E
52,D:min,F
52,D:min,D
52,D:min,D
52,D:min,G
52,D:min,F
52,D:min,E
53,G:maj,E
53,G:maj,F
53,G:maj,G
53,G:maj,G
53,G:maj,A
53,G:maj,G
53,G:maj,F
54,A:maj,E
55,D:min,E
55,D:min,C
55,D:min,B
55,D:min,G
56,C:maj,G
56,C:maj,G
56,C:maj,G
57,F:maj,G
57,F:maj,F
57,F:maj,F
57,F:maj,F
57,F:maj,F
57,F:maj,D
58,G:maj,F
58,G:maj,F
58,G:maj,G
58,G:maj,F
59,C:maj,F
59,C:maj,E
59,C:maj,G
59,C:maj,G
59,C:maj,A
59,C:maj,C
59,C:maj,E
60,C:maj,G
60,C:maj,G
60,C:maj,G
61,F:maj,G
61,F:maj,F
61,F:maj,F
61,F:maj,F
61,F:maj,F
61,F:maj,D
62,G:maj,F
62,G:maj,G
62,G:maj,E
62,G:maj,C
62,G:maj,C
62,G:maj,C
63,C:maj,C
63,C:maj,G
63,C:maj,A
63,C:maj,G
64,C:maj,G
64,C:maj,G
64,C:maj,G
65,F:maj,G
65,F:maj,F
65,F:maj,F
65,F:maj,F
65,F:maj,F
65,F:maj,D
66,G:maj,F
66,G:maj,F
66,G:maj,G
66,G:maj,F
67,C:maj,F
67,C:maj,E
67,C:maj,G
67,C:maj,G
67,C:maj,A
67,C:maj,C
67,C:maj,E
68,C:maj,G
68,C:maj,G
68,C:maj,G
69,F:maj,G
69,F:maj,F
69,F:maj,F
69,F:maj,F
69,F:maj,F
69,F:maj,D
70,G:maj,F
70,G:maj,G
70,G:maj,E
70,G:maj,C
70,G:maj,C
70,G:maj,C
71,C:maj,C
71,C:maj,G
71,C:maj,A
71,C:maj,G
72,C:maj,G
72,C:maj,G
72,C:maj,A
72,C:maj,G
73,C:maj,G
74,C:maj,G
