measure,chord,note
2,C:maj,E
2,C:maj,C
2,C:maj,C
2,C:maj,D
2,C:maj,E
3,F:maj,F
3,F:maj,F
3,F:maj,F
3,F:maj,G
3,F:maj,A
4,C:maj,G
5,C:maj,G
5,C:maj,E
5,C:maj,F
6,C:maj,G
6,C:maj,G
6,C:maj,A
6,C:maj,G
7,C:maj,E
7,C:maj,G
7,C:maj,F
7,C:maj,E
8,G:maj,D
9,G:maj,D
9,G:maj,B
9,G:maj,C
9,G:maj,D
10,C:maj,E
10,C:maj,D#
10,C:maj,E
10,C:maj,F
11,C:maj,G
11,C:maj,G
11,C:maj,A
11,C:maj,G
12,F:maj,F
13,F:maj,F
13,F:maj,C
13,F:maj,C
13,F:maj,D
14,C:maj,E
14,C:maj,E
14,C:maj,F
14,C:maj,E
15,G:maj,D
15,G:maj,D
15,G:maj,G
15,G:maj,B
15,G:maj,D
16,C:maj,C
17,C:maj,C
17,C:maj,D
17,C:maj,D#
18,C:maj,E
18,C:maj,C
18,C:maj,D
18,C:maj,E
19,F:maj,F
19,F:maj,F
19,F:maj,F
19,F:maj,G
19,F:maj,A
20,C:maj,G
21,C:maj,G
21,C:maj,E
21,C:maj,F
22,C:maj,G
22,C:maj,A
22,C:maj,G
23,C:maj,E
23,C:maj,G
23,C:maj,F
23,C:maj,E
24,G:maj,D
25,G:maj,D
25,G:maj,B
25,G:maj,C
25,G:maj,D
26,C:maj,E
26,C:maj,D#
26,C:maj,E
26,C:maj,F
27,C:maj,G
27,C:maj,G
27,C:maj,A
27,C:maj,G
28,F:maj,F
29,F:maj,F
29,F:maj,C
29,F:maj,D
30,C:maj,E
30,C:maj,E
30,C:maj,G
30,C:maj,C
30,C:maj,E
31,G:maj,D
31,G:maj,D
31,G:maj,G
31,G:maj,B
31,G:maj,D
32,C:maj,C
33,C:maj,C
33,C:maj,G
33,C:maj,G#
34,F:maj,A
34,F:maj,G#
34,F:maj,A
34,F:maj,A#
35,F:maj,A
35,F:maj,G
35,F:maj,F
35,F:maj,F
35,F:maj,F
36,C:maj,E
36,C:maj,D#
36,C:maj,E
36,C:maj,F
37,C:maj,E
37,C:maj,G
37,C:maj,G#
38,F:maj,A
38,F:maj,G#
38,F:maj,A
38,F:maj,A#
39,F:maj,A
39,F:maj,G
39,F:maj,F
39,F:maj,C
39,F:maj,D
40,C:maj,E
40,C:maj,E
40,C:maj,F
40,C:maj,E
41,G:maj,D
41,G:maj,D
41,G:maj,D#
