measure,chord,note
5,A:maj,A
5,A:maj,A
5,A:maj,A
5,A:maj,A
6,A:maj,A
6,A:maj,A
6,A:maj,A
6,A:maj,E
6,A:maj,G
7,A:maj,A
7,A:maj,A
7,A:maj,A
7,A:maj,B
8,F:maj,C
8,F:maj,C
8,F:maj,C
8,F:maj,D
9,E:maj,B
9,E:maj,B
9,E:maj,A
9,E:maj,G
10,A:maj,G
10,A:maj,A
10,A:maj,E
10,A:maj,G
11,F:maj,A
11,F:maj,A
11,F:maj,A
11,F:maj,B
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,D
13,G:maj,B
13,G:maj,B
13,G:maj,A
13,G:maj,G
14,A:maj,A
14,A:maj,E
14,A:maj,G
15,A:maj,A
15,A:maj,A
15,A:maj,A
15,A:maj,C
16,F:maj,D
16,F:maj,D
16,F:maj,D
16,F:maj,E
17,D:maj,F
17,D:maj,F
17,D:maj,E
17,D:maj,D
18,A:maj,E
18,A:maj,A
18,A:maj,A
18,A:maj,B
19,F:maj,C
19,F:maj,C
19,F:maj,D
20,A:maj,E
20,A:maj,A
20,A:maj,A
20,A:maj,C
21,E:maj,B
21,E:maj,B
21,E:maj,C
21,E:maj,A
22,E:maj,B
22,E:maj,E
22,E:maj,G
23,A:maj,A
23,A:maj,A
23,A:maj,A
23,A:maj,B
24,F:maj,C
24,F:maj,C
24,F:maj,C
24,F:maj,D
25,E:maj,B
25,E:maj,B
25,E:maj,A
25,E:maj,G
26,A:maj,G
26,A:maj,A
26,A:maj,E
26,A:maj,G
27,F:maj,A
27,F:maj,A
27,F:maj,A
27,F:maj,B
28,C:maj,C
28,C:maj,C
28,C:maj,C
28,C:maj,D
29,G:maj,B
29,G:maj,B
29,G:maj,A
29,G:maj,G
30,A:maj,A
30,A:maj,E
30,A:maj,G
31,A:maj,A
31,A:maj,A
31,A:maj,A
31,A:maj,C
32,F:maj,D
32,F:maj,D
32,F:maj,D
32,F:maj,E
33,D:maj,F
33,D:maj,F
33,D:maj,E
33,D:maj,D
34,A:maj,E
34,A:maj,A
34,A:maj,A
34,A:maj,B
35,F:maj,C
35,F:maj,C
35,F:maj,D
36,A:maj,E
36,A:maj,A
36,A:maj,A
36,A:maj,C
37,E:maj,B
37,E:maj,B
37,E:maj,A
37,E:maj,G
38,A:maj,A
38,A:maj,A
38,A:maj,B
39,F:maj,C
39,F:maj,C
39,F:maj,C
39,F:maj,D
40,E:maj,E
40,E:maj,C
40,E:maj,C
40,E:maj,A
41,E:maj,E
42,D:maj,F
42,D:maj,D
42,D:maj,A
43,D:maj,F
44,E:maj,B
44,E:maj,B
44,E:maj,C
45,E:maj,B
45,E:maj,C
45,E:maj,D
46,A:maj,E
46,A:maj,E
46,A:maj,E
47,A:maj,F
47,A:maj,E
48,G:maj,D
48,G:maj,D
48,G:maj,D
49,C:maj,D
49,C:maj,E
50,A:maj,E
50,A:maj,E
50,A:maj,E
51,A:maj,F
51,A:maj,E
52,E:maj,D
52,E:maj,C
52,E:maj,B
53,A:maj,A
53,A:maj,A
53,A:maj,B
54,A:maj,C
54,A:maj,D
54,A:maj,E
55,G:maj,D
55,G:maj,C
55,G:maj,B
56,C:maj,C
56,C:maj,D
56,C:maj,E
57,G:maj,D
57,G:maj,C
57,G:maj,D
58,C:maj,E
58,C:maj,D
58,C:maj,C
59,E:maj,B
59,E:maj,C
59,E:maj,B
60,A:maj,A
60,A:maj,B
60,A:maj,G
61,A:maj,A
61,A:maj,A
61,A:maj,B
62,A:maj,C
62,A:maj,B
62,A:maj,C
63,G:maj,D
63,G:maj,C
63,G:maj,D
64,C:maj,E
64,C:maj,D
64,C:maj,C
65,F:maj,A
65,F:maj,A
65,F:maj,B
66,A:maj,C
66,A:maj,D
66,A:maj,E
67,D:maj,F
67,D:maj,A
67,D:maj,D
68,E:maj,C
68,E:maj,D
68,E:maj,B
69,E:maj,A
69,E:maj,B
69,E:maj,G#
70,A:maj,E
71,D:maj,F
72,C:maj,E
72,C:maj,E
72,C:maj,E
73,G:maj,E
73,G:maj,D
74,D:maj,D
75,E:maj,C
76,E:maj,C
76,E:maj,D
76,E:maj,B
77,A:maj,A
77,A:maj,A
77,A:maj,B
77,A:maj,C
78,A:maj,E
78,A:maj,A
78,A:maj,B
78,A:maj,C
79,F:maj,F
79,F:maj,A
79,F:maj,B
79,F:maj,C
80,C:maj,E
80,C:maj,E
80,C:maj,G
81,G:maj,E
81,G:maj,D
82,D:maj,D
83,E:maj,C
84,E:maj,C
84,E:maj,D
84,E:maj,B
85,A:maj,A
86,A:maj,A
