measure,chord,note
1,C:maj,E
1,C:maj,F
1,C:maj,E
1,C:maj,D
2,C:maj,D
2,C:maj,C
2,C:maj,G
2,C:maj,E
3,F:maj,F
3,F:maj,A
4,D:min,A
4,D:min,E
5,G:maj,F
5,G:maj,E
5,G:maj,F
5,G:maj,D
6,G:maj,B
6,G:maj,G
6,G:maj,B
6,G:maj,A
7,C:maj,G
8,C:maj,G
8,C:maj,E
9,C:maj,E
9,C:maj,F
9,C:maj,E
9,C:maj,D
10,C:maj,D
10,C:maj,C
10,C:maj,G
10,C:maj,E
11,F:maj,F
11,F:maj,F
11,F:maj,G
12,D:min,A
13,G:maj,F
13,G:maj,E
13,G:maj,F
13,G:maj,D
14,G:maj,B
14,G:maj,G
14,G:maj,E
14,G:maj,D
15,C:maj,C
16,C:maj,C
16,C:maj,G
16,C:maj,C
16,C:maj,D
17,C:maj,E
17,C:maj,F
17,C:maj,E
17,C:maj,D
18,C:maj,D
18,C:maj,C
19,F:maj,F
19,F:maj,F
19,F:maj,F
19,F:maj,G
20,D:min,A
21,G:maj,D
21,G:maj,E
21,G:maj,D
21,G:maj,E
22,G:maj,C
22,G:maj,B
22,G:maj,B
22,G:maj,B
23,G:maj,B
23,G:maj,C
23,G:maj,B
23,G:maj,A
24,C:maj,G
25,C:maj,G
25,C:maj,C
25,C:maj,D
26,C:maj,E
26,C:maj,F
26,C:maj,E
26,C:maj,D
27,C:maj,D
27,C:maj,C
27,C:maj,C
27,C:maj,F
28,F:maj,F
28,F:maj,F
28,F:maj,F
28,F:maj,G
29,D:min,A
29,D:min,D
29,D:min,E
30,G:maj,F
30,G:maj,E
30,G:maj,F
30,G:maj,D
31,G:maj,B
31,G:maj,G
31,G:maj,A
31,G:maj,A
32,G:maj,G
32,G:maj,F
32,G:maj,E
32,G:maj,D
33,C:maj,C
34,G:maj,C
34,G:maj,B
34,G:maj,C
34,G:maj,D
35,C:maj,C
36,C:maj,C
