measure,chord,note
9,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,G
9,C:maj,D
9,C:maj,D
10,C:maj,E
10,C:maj,E
10,C:maj,E
10,C:maj,G
10,C:maj,D
10,C:maj,D
11,A:min,E
11,A:min,E
11,A:min,E
11,A:min,D
11,A:min,D
11,A:min,C
12,F:maj,E
12,F:maj,E
12,F:maj,E
12,F:maj,D
12,F:maj,D
12,F:maj,C
13,C:maj,E
13,C:maj,E
13,C:maj,E
13,C:maj,G
13,C:maj,D
13,C:maj,D
14,C:maj,E
14,C:maj,E
14,C:maj,E
14,C:maj,G
14,C:maj,D
14,C:maj,D
15,A:min,E
15,A:min,E
15,A:min,D
15,A:min,D
15,A:min,C
16,F:maj,E
16,F:maj,E
16,F:maj,E
16,F:maj,D
16,F:maj,D
16,F:maj,C
18,C:maj,E
18,C:maj,E
18,C:maj,C
18,C:maj,D
18,C:maj,D
18,C:maj,D
18,C:maj,E
19,C:maj,E
19,C:maj,C
19,C:maj,G
19,C:maj,D
20,A:min,E
20,A:min,E
20,A:min,E
20,A:min,D
20,A:min,E
20,A:min,C
21,F:maj,C
21,F:maj,C
21,F:maj,G
21,F:maj,C
24,C:maj,E
24,C:maj,E
24,C:maj,E
24,C:maj,G
24,C:maj,D
24,C:maj,D
25,C:maj,E
25,C:maj,E
25,C:maj,E
25,C:maj,G
25,C:maj,D
25,C:maj,D
26,A:min,E
26,A:min,E
26,A:min,E
26,A:min,D
26,A:min,D
26,A:min,C
27,F:maj,E
27,F:maj,D
27,F:maj,D
27,F:maj,D
27,F:maj,E
28,C:maj,E
28,C:maj,E
28,C:maj,E
28,C:maj,G
28,C:maj,D
28,C:maj,D
29,C:maj,E
29,C:maj,E
29,C:maj,E
29,C:maj,G
29,C:maj,D
29,C:maj,D
30,A:min,E
30,A:min,E
30,A:min,E
30,A:min,D
30,A:min,D
30,A:min,C
31,F:maj,D
31,F:maj,D
31,F:maj,D
31,F:maj,E
32,C:maj,E
33,C:maj,E
33,C:maj,E
33,C:maj,C
33,C:maj,D
33,C:maj,D
33,C:maj,D
33,C:maj,E
34,C:maj,E
34,C:maj,C
34,C:maj,G
34,C:maj,D
35,A:min,E
35,A:min,E
35,A:min,E
35,A:min,D
35,A:min,E
35,A:min,C
36,F:maj,C
36,F:maj,C
36,F:maj,G
36,F:maj,C
37,C:maj,E
37,C:maj,G
37,C:maj,C
37,C:maj,D
37,C:maj,C
37,C:maj,C
37,C:maj,C
38,C:maj,C
38,C:maj,C
38,C:maj,G
38,C:maj,D
39,A:min,E
39,A:min,E
39,A:min,E
39,A:min,D
39,A:min,E
39,A:min,C
40,F:maj,C
40,F:maj,G
41,G:maj,G
42,G:maj,E
42,G:maj,E
42,G:maj,E
42,G:maj,G
42,G:maj,E
42,G:maj,G
43,F:maj,A
43,F:maj,A
43,F:maj,A
44,F:maj,G
45,G:maj,G
46,G:maj,E
46,G:maj,E
46,G:maj,E
46,G:maj,G
46,G:maj,E
47,F:maj,A
47,F:maj,A
47,F:maj,G
47,F:maj,E
47,F:maj,G
47,F:maj,E
48,F:maj,C
48,F:maj,C
48,F:maj,F
48,F:maj,E
49,A:min,F
49,A:min,E
49,A:min,E
51,C:maj,E
51,C:maj,E
51,C:maj,C
51,C:maj,D
51,C:maj,D
51,C:maj,D
51,C:maj,E
52,C:maj,E
52,C:maj,C
52,C:maj,G
52,C:maj,D
53,A:min,E
53,A:min,E
53,A:min,E
53,A:min,D
53,A:min,E
53,A:min,C
54,F:maj,C
54,F:maj,C
54,F:maj,G
54,F:maj,D
55,C:maj,E
55,C:maj,G
55,C:maj,C
55,C:maj,D
55,C:maj,C
55,C:maj,C
55,C:maj,C
56,C:maj,C
56,C:maj,C
56,C:maj,G
56,C:maj,D
57,A:min,E
57,A:min,E
57,A:min,E
57,A:min,D
57,A:min,E
57,A:min,C
58,F:maj,C
