measure,chord,note
1,C:maj,E
1,C:maj,C
1,C:maj,D
1,C:maj,E
2,F:maj,D
2,F:maj,C
2,F:maj,C
2,F:maj,A
3,C:maj,G
3,C:maj,C
3,C:maj,B
3,C:maj,C
4,G:maj,D
5,G:maj,C
5,G:maj,D
6,C:maj,E
6,C:maj,C
6,C:maj,D
6,C:maj,E
7,F:maj,D
7,F:maj,C
7,F:maj,C
7,F:maj,A
8,C:maj,G
8,C:maj,C
8,C:maj,D
8,C:maj,B
9,C:maj,C
10,C:maj,E
10,C:maj,F
11,C:maj,G
11,C:maj,E
11,C:maj,F
11,C:maj,E
12,G:maj,E
12,G:maj,D
12,G:maj,D
12,G:maj,E
13,D:min,F
13,D:min,D
13,D:min,E
13,D:min,F
14,C:maj,E
15,C:maj,E
15,C:maj,D
16,A:min,C
16,A:min,D
16,A:min,C
16,A:min,B
17,F:maj,A
17,F:maj,C
17,F:maj,C
17,F:maj,D
18,C:maj,E
18,C:maj,C
18,C:maj,D
18,C:maj,B
19,C:maj,C
