measure,chord,note
1,C:maj,E
2,G:maj,D
2,G:maj,C
2,G:maj,D
2,G:maj,E
2,G:maj,C
2,G:maj,A
3,A:min,A
3,A:min,C
3,A:min,D
3,A:min,E
3,A:min,A
3,A:min,F
4,F:maj,F
4,F:maj,E
4,F:maj,D
4,F:maj,C
4,F:maj,G
5,C:maj,E
5,C:maj,E
5,C:maj,E
6,G:maj,D
6,G:maj,E
6,G:maj,F
6,G:maj,E
6,G:maj,D
6,G:maj,C
7,A:min,E
7,A:min,E
7,A:min,E
8,F:maj,C
8,F:maj,F
8,F:maj,F
8,F:maj,E
8,F:maj,D
8,F:maj,D
8,F:maj,D
8,F:maj,C
9,C:maj,E
9,C:maj,C
9,C:maj,C
9,C:maj,F
9,C:maj,E
9,C:maj,D
9,C:maj,C
10,G:maj,B
10,G:maj,A
10,G:maj,B
10,G:maj,B
10,G:maj,C
10,G:maj,A
11,A:min,A
12,F:maj,A
12,F:maj,B
13,C:maj,E
13,C:maj,C
13,C:maj,G
14,G:maj,C
14,G:maj,D
14,G:maj,E
14,G:maj,F
14,G:maj,F
14,G:maj,E
14,G:maj,D
14,G:maj,C
15,A:min,E
15,A:min,C
15,A:min,C
15,A:min,D
15,A:min,D
15,A:min,C
16,F:maj,C
16,F:maj,C
16,F:maj,F
16,F:maj,E
16,F:maj,D
16,F:maj,C
16,F:maj,E
17,C:maj,E
17,C:maj,C
17,C:maj,C
17,C:maj,D
17,C:maj,F
17,C:maj,E
17,C:maj,D
17,C:maj,C
17,C:maj,D
18,G:maj,D
18,G:maj,B
18,G:maj,A
18,G:maj,B
18,G:maj,A
18,G:maj,C
18,G:maj,C
18,G:maj,A
19,A:min,A
20,F:maj,A
21,C:maj,G
21,C:maj,E
21,C:maj,D
21,C:maj,C
21,C:maj,G
22,G:maj,G
22,G:maj,G
22,G:maj,E
22,G:maj,E
22,G:maj,D
22,G:maj,C
22,G:maj,C
22,G:maj,D
23,A:min,E
23,A:min,C
23,A:min,C
23,A:min,C
23,A:min,E
23,A:min,C
23,A:min,C
23,A:min,C
23,A:min,E
23,A:min,E
24,F:maj,E
24,F:maj,E
24,F:maj,E
24,F:maj,E
24,F:maj,D
24,F:maj,C
24,F:maj,C
25,C:maj,G
25,C:maj,E
25,C:maj,D
25,C:maj,C
25,C:maj,G
26,G:maj,G
26,G:maj,G
26,G:maj,E
26,G:maj,E
26,G:maj,D
26,G:maj,C
26,G:maj,C
26,G:maj,D
27,A:min,E
27,A:min,C
27,A:min,C
27,A:min,D
28,G:maj,D
28,G:maj,C
28,G:maj,C
29,C:maj,C
29,C:maj,E
30,G:maj,D
30,G:maj,C
30,G:maj,D
30,G:maj,E
30,G:maj,C
30,G:maj,A
31,A:min,A
31,A:min,C
31,A:min,D
31,A:min,E
31,A:min,A
31,A:min,F
32,F:maj,F
32,F:maj,E
32,F:maj,D
32,F:maj,C
33,C:maj,E
33,C:maj,E
33,C:maj,E
33,C:maj,D
33,C:maj,C
33,C:maj,C
33,C:maj,G
34,G:maj,D
34,G:maj,E
34,G:maj,F
34,G:maj,E
34,G:maj,D
34,G:maj,C
35,A:min,E
35,A:min,C
35,A:min,C
35,A:min,D
35,A:min,C
36,F:maj,C
36,F:maj,D
36,F:maj,F
36,F:maj,E
36,F:maj,D
36,F:maj,C
36,F:maj,E
37,C:maj,E
37,C:maj,C
37,C:maj,C
37,C:maj,F
37,C:maj,E
37,C:maj,D
37,C:maj,C
37,C:maj,B
38,G:maj,B
38,G:maj,G
38,G:maj,A
38,G:maj,C
38,G:maj,D
39,A:min,A
39,A:min,C
40,F:maj,E
40,F:maj,E
40,F:maj,E
40,F:maj,D
40,F:maj,C
40,F:maj,C
40,F:maj,C
41,C:maj,E
