measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,C
1,C:maj,C
2,F:maj,E
2,F:maj,D
2,F:maj,E
2,F:maj,D
2,F:maj,C
2,F:maj,B
2,F:maj,A
2,F:maj,B
3,C:maj,G
3,C:maj,G
3,C:maj,G
3,C:maj,G
4,F:maj,A
4,F:maj,G
4,F:maj,A
4,F:maj,G
4,F:maj,F
4,F:maj,E
4,F:maj,D
4,F:maj,E
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,G:maj,E
6,G:maj,D
6,G:maj,E
6,G:maj,D
6,G:maj,E
6,G:maj,D
6,G:maj,C
6,G:maj,D
7,C:maj,E
8,C:maj,E
9,C:maj,C
10,C:maj,C
10,C:maj,C
11,F:maj,D
11,F:maj,D
11,F:maj,D
11,F:maj,D
11,F:maj,E
11,F:maj,D
11,F:maj,C
11,F:maj,D
12,C:maj,E
12,C:maj,E
12,C:maj,D
12,C:maj,E
13,F:maj,F
13,F:maj,F
13,F:maj,F
13,F:maj,F
13,F:maj,G
13,F:maj,F
13,F:maj,E
13,F:maj,F
14,C:maj,G
14,C:maj,E
15,D:maj,F#
15,D:maj,F#
15,D:maj,F#
15,D:maj,F#
15,D:maj,A
15,D:maj,F#
15,D:maj,E
15,D:maj,F#
16,G:maj,G
16,G:maj,G
16,G:maj,G
16,G:maj,G
17,G:maj,B
17,G:maj,B
17,G:maj,A
17,G:maj,A
17,G:maj,B
17,G:maj,B
17,G:maj,A
17,G:maj,A
18,G:maj,B
18,G:maj,B
18,G:maj,A
18,G:maj,A
18,G:maj,A
18,G:maj,B
19,C:maj,C
19,C:maj,C
19,C:maj,C
19,C:maj,C
19,C:maj,C
20,F:maj,E
20,F:maj,D
20,F:maj,E
20,F:maj,D
20,F:maj,C
20,F:maj,B
20,F:maj,A
20,F:maj,B
21,C:maj,G
21,C:maj,G
21,C:maj,G
21,C:maj,G
22,F:maj,A
22,F:maj,G
22,F:maj,A
22,F:maj,A
22,F:maj,F
22,F:maj,E
22,F:maj,D
22,F:maj,E
23,C:maj,C
23,C:maj,C
23,C:maj,C
23,C:maj,C
24,G:maj,D
24,G:maj,E
24,G:maj,F
24,G:maj,G
24,G:maj,A
24,G:maj,B
24,G:maj,C
24,G:maj,D
25,C:maj,C
25,C:maj,C
25,C:maj,D
25,C:maj,E
26,C:maj,C
26,C:maj,D
26,C:maj,E
26,C:maj,D
26,C:maj,C
27,C:maj,C
