measure,chord,note
1,D:min,A
1,D:min,D
1,D:min,B
2,E:min,B
3,D:min,A
3,D:min,A
3,D:min,A
3,D:min,A
3,D:min,A
3,D:min,D
3,D:min,B
4,C:maj,B
5,G:min,D
5,G:min,G
5,G:min,E
6,A:min,E
6,A:min,E
6,A:min,F#
6,A:min,E
6,A:min,F#
6,A:min,G#
7,E:maj,G#
8,E:maj,G#
8,E:maj,G#
8,E:maj,G#
8,E:maj,G#
8,E:maj,G#
8,E:maj,G#
8,E:maj,A
8,E:maj,B
9,F:maj,C
9,F:maj,D
9,F:maj,B
9,F:maj,B
10,E:min,B
10,E:min,A
10,E:min,G
10,E:min,A
10,E:min,B
11,F:maj,C
11,F:maj,C
11,F:maj,C
11,F:maj,C
11,F:maj,D
11,F:maj,B
12,E:min,B
12,E:min,A
12,E:min,G
12,E:min,A
12,E:min,B
13,F:maj,C
13,F:maj,C
13,F:maj,C
13,F:maj,C
13,F:maj,D
13,F:maj,B
14,E:min,B
14,E:min,A
14,E:min,B
14,E:min,A
14,E:min,G
14,E:min,A
15,A:min,A
16,A:min,A
16,A:min,A
16,A:min,A
16,A:min,G
16,A:min,E
16,A:min,D
17,D:min,D
17,D:min,A
17,D:min,D
17,D:min,B
18,D:min,A
18,D:min,A
18,D:min,G
18,D:min,F
18,D:min,E
19,F:maj,E
19,F:maj,E
19,F:maj,E
19,F:maj,D
19,F:maj,C
19,F:maj,D
20,E:min,E
20,E:min,G
20,E:min,F
20,E:min,G
20,E:min,G
21,F:maj,E
21,F:maj,E
21,F:maj,D
21,F:maj,E
21,F:maj,D
21,F:maj,C
21,F:maj,D
22,E:min,E
22,E:min,G
22,E:min,E
22,E:min,G
22,E:min,G
22,E:min,G
23,A:min,A
23,A:min,G
23,A:min,E
23,A:min,G
23,A:min,G
23,A:min,G
24,F:maj,A
24,F:maj,G
24,F:maj,E
24,F:maj,G
24,F:maj,G
24,F:maj,G
25,F:maj,A
25,F:maj,G
25,F:maj,F
25,F:maj,A
25,F:maj,G
25,F:maj,E
26,D:min,G
26,D:min,G
26,D:min,A
26,D:min,B
26,D:min,C
26,D:min,D
27,F:maj,C
27,F:maj,C
27,F:maj,C
27,F:maj,D
27,F:maj,B
28,E:min,B
28,E:min,A
28,E:min,G
28,E:min,A
28,E:min,B
29,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,D
29,F:maj,B
30,E:min,B
30,E:min,A
30,E:min,G
30,E:min,A
30,E:min,B
31,F:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,B
32,E:min,B
32,E:min,A
32,E:min,B
32,E:min,A
32,E:min,G
32,E:min,A
33,A:min,A
34,D:min,A
34,D:min,G
34,D:min,A
34,D:min,B
34,D:min,C
34,D:min,D
35,C:maj,C
36,C:maj,C
