measure,chord,note
1,C:maj,C
1,C:maj,E
1,C:maj,G
2,F:min,G#
2,F:min,G
2,F:min,G#
2,F:min,C
2,F:min,G
3,C:maj,G
3,C:maj,C
3,C:maj,C
3,C:maj,C
3,C:maj,D
3,C:maj,D
3,C:maj,D
3,C:maj,E
3,C:maj,E
3,C:maj,E
3,C:maj,C
4,F:min,D
4,F:min,C
4,F:min,D
4,F:min,A#
4,F:min,C
4,F:min,D
5,C:maj,E
5,C:maj,G
5,C:maj,D
5,C:maj,E
5,C:maj,G
5,C:maj,C
6,F:min,D
6,F:min,C
6,F:min,D
6,F:min,D
6,F:min,G
7,C:maj,G
7,C:maj,C
7,C:maj,C
7,C:maj,C
7,C:maj,D
7,C:maj,D
7,C:maj,D
7,C:maj,E
7,C:maj,E
7,C:maj,E
7,C:maj,C
8,F:min,D
8,F:min,G
9,C:maj,G
9,C:maj,C
9,C:maj,C
9,C:maj,C
9,C:maj,D
9,C:maj,D
9,C:maj,D
9,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,C
10,F:min,D
10,F:min,C
10,F:min,D
10,F:min,D
10,F:min,G#
10,F:min,G
11,C:maj,G
11,C:maj,C
11,C:maj,C
11,C:maj,C
11,C:maj,D
11,C:maj,D
11,C:maj,D
11,C:maj,E
11,C:maj,E
11,C:maj,E
11,C:maj,C
12,F:min,D
12,F:min,D#
12,F:min,D
12,F:min,C
12,F:min,D
12,F:min,G
13,C:maj,G
13,C:maj,C
13,C:maj,C
13,C:maj,C
13,C:maj,D
13,C:maj,D
13,C:maj,D
13,C:maj,E
13,C:maj,E
13,C:maj,E
13,C:maj,C
14,F:min,D
14,F:min,D#
14,F:min,D
14,F:min,C
14,F:min,E
14,F:min,D
14,F:min,C
14,F:min,D
14,F:min,D
14,F:min,E
14,F:min,C
14,F:min,C
14,F:min,C
15,A:min,A
15,A:min,C
15,A:min,A
15,A:min,C
15,A:min,D
16,F:min,E
16,F:min,D
16,F:min,C
16,F:min,D
16,F:min,C
16,F:min,C
16,F:min,C
16,F:min,B
17,C:maj,A
17,C:maj,G
17,C:maj,G
17,C:maj,C
17,C:maj,D
17,C:maj,E
18,D:min,F
18,D:min,E
18,D:min,D
18,D:min,D
18,D:min,C
18,D:min,A
18,D:min,G
18,D:min,E
18,D:min,E
18,D:min,E
18,D:min,D
18,D:min,C
19,C:maj,C
19,C:maj,E
19,C:maj,E
19,C:maj,E
19,C:maj,D
19,C:maj,C
20,A:min,D
20,A:min,C
20,A:min,C
20,A:min,C
20,A:min,G
20,A:min,E
20,A:min,E
20,A:min,E
20,A:min,E
20,A:min,E
20,A:min,E
21,D:min,E
21,D:min,F
21,D:min,F
21,D:min,F
21,D:min,E
21,D:min,E
21,D:min,E
21,D:min,E
22,D:min,E
22,D:min,D
22,D:min,D
22,D:min,D
22,D:min,E
22,D:min,E
22,D:min,E
22,D:min,E
22,D:min,D
22,D:min,C
23,A:min,C
23,A:min,A
23,A:min,G
23,A:min,E
23,A:min,E
23,A:min,E
23,A:min,D
23,A:min,D
23,A:min,C
24,F:min,D
24,F:min,C
24,F:min,D
24,F:min,D
24,F:min,E
24,F:min,F
24,F:min,F
24,F:min,F
24,F:min,F
24,F:min,E
24,F:min,D
24,F:min,C
25,C:maj,C
25,C:maj,E
25,C:maj,E
25,C:maj,E
25,C:maj,D
25,C:maj,C
26,F:min,D
26,F:min,D
26,F:min,C
26,F:min,D
26,F:min,D
26,F:min,D
26,F:min,C
26,F:min,B
27,A:min,C
27,A:min,B
27,A:min,A
28,F:maj,G
29,F:min,D
29,F:min,C
29,F:min,G#
29,F:min,G
29,F:min,D
29,F:min,D
29,F:min,D
29,F:min,C
29,F:min,B
30,A:min,C
30,A:min,B
30,A:min,A
30,A:min,A
31,D:min,C
31,D:min,C
31,D:min,D
31,D:min,C
31,D:min,C
31,D:min,D
31,D:min,E
31,D:min,E
31,D:min,F
32,C:maj,E
32,C:maj,C
32,C:maj,G
32,C:maj,F
33,F:maj,E
33,F:maj,G
33,F:maj,C
33,F:maj,C
