measure,chord,note
1,C:maj,C
1,C:maj,D
1,C:maj,E
1,C:maj,F
2,F:maj,F
2,F:maj,E
2,F:maj,D
2,F:maj,D
2,F:maj,C
2,F:maj,E
3,C:maj,E
3,C:maj,C
3,C:maj,G
3,C:maj,G
5,C:maj,C
5,C:maj,D
5,C:maj,E
5,C:maj,F
6,F:maj,F
6,F:maj,F
6,F:maj,E
6,F:maj,D
7,G:maj,B
7,G:maj,C
7,G:maj,D
7,G:maj,D
9,C:maj,C
9,C:maj,D
9,C:maj,E
9,C:maj,F
10,F:maj,F
10,F:maj,E
10,F:maj,D
10,F:maj,D
10,F:maj,C
10,F:maj,E
11,C:maj,C
11,C:maj,G
11,C:maj,G
12,C:maj,G
12,C:maj,G
12,C:maj,G
12,C:maj,G
12,C:maj,G
12,C:maj,A#
13,A#:maj,A#
13,A#:maj,A
14,F:maj,A
14,F:maj,G
14,F:maj,C
14,F:maj,C
14,F:maj,D
14,F:maj,C
15,C:maj,C
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,C
17,A#:maj,C
17,A#:maj,A#
17,A#:maj,A#
17,A#:maj,A
18,F:maj,A
18,F:maj,G
18,F:maj,C
18,F:maj,C
18,F:maj,D
18,F:maj,C
19,C:maj,C
21,C:maj,C
21,C:maj,C
21,C:maj,D
21,C:maj,E
21,C:maj,F
22,F:maj,E
22,F:maj,D
22,F:maj,D
22,F:maj,C
22,F:maj,E
23,C:maj,E
23,C:maj,C
23,C:maj,G
23,C:maj,G
25,C:maj,C
25,C:maj,D
25,C:maj,E
25,C:maj,F
26,F:maj,F
26,F:maj,F
26,F:maj,E
26,F:maj,D
27,G:maj,B
27,G:maj,C
27,G:maj,D
27,G:maj,D
29,C:maj,C
29,C:maj,D
29,C:maj,E
29,C:maj,F
30,F:maj,E
30,F:maj,D
30,F:maj,C
30,F:maj,E
31,C:maj,C
31,C:maj,G
31,C:maj,G
32,C:maj,G
32,C:maj,G
32,C:maj,G
32,C:maj,G
32,C:maj,G
32,C:maj,A#
33,A#:maj,A#
33,A#:maj,A
34,F:maj,A
34,F:maj,G
34,F:maj,C
34,F:maj,C
34,F:maj,D
34,F:maj,C
35,C:maj,C
37,D#:maj,G
37,D#:maj,G
37,D#:maj,G
38,D#:maj,G
38,D#:maj,G
38,D#:maj,G
38,D#:maj,F
38,D#:maj,D#
39,A#:maj,F
39,A#:maj,D
39,A#:maj,D
41,D#:maj,G
41,D#:maj,G
41,D#:maj,G
42,D#:maj,G
42,D#:maj,G
42,D#:maj,F
42,D#:maj,D#
43,G:maj,G
43,G:maj,G
43,G:maj,G
44,G:maj,G
45,B:maj,F#
46,F:maj,F
47,B:maj,F#
48,F:maj,F
49,A#:maj,F
50,A:min,E
51,G:maj,D
52,G:maj,D
53,C:maj,G
53,C:maj,G
53,C:maj,G
53,C:maj,G
53,C:maj,G
53,C:maj,C
54,A#:maj,C
54,A#:maj,A#
54,A#:maj,A#
54,A#:maj,A
55,F:maj,A
55,F:maj,G
55,F:maj,C
55,F:maj,C
55,F:maj,D
55,F:maj,C
56,C:maj,C
57,C:maj,G
57,C:maj,G
57,C:maj,G
57,C:maj,G
57,C:maj,G
57,C:maj,C
