measure,chord,note
1,F:maj,D
1,F:maj,C
1,F:maj,A
1,F:maj,C
2,F:min,D
2,F:min,C
2,F:min,G#
2,F:min,C
3,C:maj,D
3,C:maj,C
3,C:maj,G
3,C:maj,E
4,D:maj,D
4,D:maj,C
4,D:maj,A
4,D:maj,E
5,D:min,G
5,D:min,E
5,D:min,D
5,D:min,E
6,G:maj,G
6,G:maj,E
6,G:maj,D
6,G:maj,E
7,C:maj,G
8,C:maj,G
8,C:maj,C
9,F:maj,D
9,F:maj,C
9,F:maj,A
9,F:maj,C
10,F:min,D
10,F:min,C
10,F:min,G#
10,F:min,C
11,C:maj,D
11,C:maj,C
11,C:maj,G
11,C:maj,E
12,D:maj,D
12,D:maj,C
12,D:maj,A
12,D:maj,E
13,D:min,G
13,D:min,E
13,D:min,D
13,D:min,E
14,G:maj,G
14,G:maj,E
14,G:maj,G
14,G:maj,A
15,C:maj,C
16,C:maj,C
17,E:maj,E
17,E:maj,C#
17,E:maj,B
17,E:maj,C#
18,E:maj,E
18,E:maj,C#
18,E:maj,B
18,E:maj,E
19,A:maj,B
20,A:maj,A
21,D:maj,D
21,D:maj,B
21,D:maj,A
21,D:maj,B
22,D:maj,D
22,D:maj,B
22,D:maj,A
22,D:maj,D
23,G:maj,A
24,G:min,G
24,G:min,C
25,F:maj,D
25,F:maj,C
25,F:maj,A
25,F:maj,C
26,F:min,D
26,F:min,C
26,F:min,G#
26,F:min,C
27,C:maj,D
27,C:maj,C
27,C:maj,G
27,C:maj,E
28,D:maj,D
28,D:maj,C
28,D:maj,A
28,D:maj,E
29,D:min,G
29,D:min,E
29,D:min,D
29,D:min,E
30,G:maj,G
30,G:maj,E
30,G:maj,G
30,G:maj,A
31,C:maj,C
32,F:maj,C
