measure,chord,note
1,A:min,E
1,A:min,E
1,A:min,E
1,A:min,F
2,E:maj,F
2,E:maj,E
2,E:maj,E
3,F:maj,C
3,F:maj,C
3,F:maj,D
3,F:maj,E
3,F:maj,F
3,F:maj,D
3,F:maj,E
4,G:maj,E
5,A:min,E
5,A:min,E
5,A:min,E
5,A:min,F
6,E:maj,F
6,E:maj,E
6,E:maj,E
7,F:maj,C
7,F:maj,D
7,F:maj,E
7,F:maj,E
7,F:maj,E
7,F:maj,D
7,F:maj,E
8,G:maj,E
9,A:min,E
9,A:min,A
9,A:min,A
9,A:min,A
10,E:maj,B
10,E:maj,B
10,E:maj,C
10,E:maj,C
10,E:maj,E
10,E:maj,E
11,F:maj,C
11,F:maj,C
11,F:maj,A
11,F:maj,A
11,F:maj,F
12,G:maj,G
12,G:maj,F
12,G:maj,E
13,A:min,E
13,A:min,E
13,A:min,E
14,E:maj,E
14,E:maj,A
14,E:maj,B
14,E:maj,C
14,E:maj,C
14,E:maj,E
14,E:maj,E
15,F:maj,C
15,F:maj,C
15,F:maj,A
15,F:maj,F
15,F:maj,G
16,G:maj,G
16,G:maj,F
16,G:maj,E
17,F:maj,F
17,F:maj,F
17,F:maj,F
17,F:maj,G
17,F:maj,F
18,G:maj,D
18,G:maj,D
18,G:maj,D
18,G:maj,F
18,G:maj,E
18,G:maj,E
18,G:maj,D
19,C:maj,E
19,C:maj,E
19,C:maj,F
19,C:maj,G
20,F:min,G#
20,F:min,A#
20,F:min,G#
20,F:min,G
20,F:min,G
20,F:min,F
20,F:min,D#
21,G#:maj,G
21,G#:maj,G
21,G#:maj,G#
21,G#:maj,F
21,G#:maj,G
22,A#:maj,G
22,A#:maj,G
22,A#:maj,G#
22,A#:maj,G
22,A#:maj,F
22,A#:maj,D#
23,D#:maj,G
23,D#:maj,G
23,D#:maj,G
23,D#:maj,G
23,D#:maj,G
23,D#:maj,G
23,D#:maj,G
23,D#:maj,G#
23,D#:maj,G
24,D#:maj,G
24,D#:maj,G#
24,D#:maj,G
24,D#:maj,D#
24,D#:maj,D#
25,A:min,E
25,A:min,E
25,A:min,E
26,E:maj,F
26,E:maj,E
26,E:maj,E
26,E:maj,E
26,E:maj,C
26,E:maj,E
26,E:maj,D
27,F:maj,E
27,F:maj,D
27,F:maj,E
27,F:maj,E
28,G:maj,D
28,G:maj,E
28,G:maj,F
28,G:maj,E
28,G:maj,E
29,A:min,E
29,A:min,D
29,A:min,E
29,A:min,E
30,E:maj,D
30,E:maj,E
30,E:maj,F
30,E:maj,E
30,E:maj,E
30,E:maj,C
30,E:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,E
31,F:maj,D
31,F:maj,E
32,G:maj,C
32,G:maj,C
32,G:maj,E
32,G:maj,E
32,G:maj,E
32,G:maj,C
33,A:min,E
33,A:min,E
33,A:min,E
33,A:min,E
33,A:min,E
33,A:min,E
33,A:min,F
33,A:min,E
33,A:min,E
34,E:maj,E
34,E:maj,E
34,E:maj,E
34,E:maj,D
34,E:maj,E
34,E:maj,F
34,E:maj,E
34,E:maj,E
35,F:maj,E
35,F:maj,E
35,F:maj,E
35,F:maj,D
35,F:maj,E
35,F:maj,F
35,F:maj,E
35,F:maj,E
36,G:maj,E
36,G:maj,E
36,G:maj,D
36,G:maj,E
36,G:maj,F
36,G:maj,E
36,G:maj,A
37,A:min,E
37,A:min,E
37,A:min,D
37,A:min,D
38,E:maj,D
38,E:maj,D
38,E:maj,B
38,E:maj,B
38,E:maj,D
39,F:maj,D
39,F:maj,D
39,F:maj,C
39,F:maj,C
39,F:maj,C
39,F:maj,D
40,G:maj,D
40,G:maj,D
40,G:maj,B
40,G:maj,B
41,D:min,D
41,D:min,D
41,D:min,E
41,D:min,E
41,D:min,D
42,A:min,D
42,A:min,C
42,A:min,A
43,D:min,D
43,D:min,D
43,D:min,F
43,D:min,D
43,D:min,D
43,D:min,E
44,E:maj,E
44,E:maj,A
44,E:maj,A
44,E:maj,A
44,E:maj,A
45,A:min,A
45,A:min,A
45,A:min,A
46,E:maj,B
46,E:maj,C
46,E:maj,A
46,E:maj,B
46,E:maj,B
46,E:maj,B
46,E:maj,A
46,E:maj,B
47,F:maj,C
47,F:maj,B
47,F:maj,A
47,F:maj,B
47,F:maj,C
47,F:maj,A
47,F:maj,A
47,F:maj,B
48,G:maj,C
48,G:maj,B
48,G:maj,A
48,G:maj,B
48,G:maj,C
48,G:maj,C
48,G:maj,B
48,G:maj,A
48,G:maj,A
48,G:maj,G
49,A:min,A
49,A:min,A
49,A:min,A
49,A:min,A
49,A:min,A
49,A:min,A
49,A:min,A
49,A:min,A
50,E:maj,B
50,E:maj,B
50,E:maj,B
50,E:maj,B
50,E:maj,B
50,E:maj,B
50,E:maj,A
50,E:maj,B
51,F:maj,C
51,F:maj,B
51,F:maj,A
51,F:maj,B
51,F:maj,C
51,F:maj,C
51,F:maj,A
51,F:maj,A
51,F:maj,B
52,G:maj,C
52,G:maj,B
52,G:maj,A
52,G:maj,B
52,G:maj,C
52,G:maj,B
52,G:maj,A
52,G:maj,A
52,G:maj,A
52,G:maj,G
52,G:maj,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
53,A:min,A
54,E:maj,B
54,E:maj,C
54,E:maj,B
54,E:maj,D
54,E:maj,D
54,E:maj,C
55,F:maj,C
55,F:maj,F
55,F:maj,F
55,F:maj,F
56,G:maj,F
56,G:maj,E
56,G:maj,E
56,G:maj,E
56,G:maj,E
56,G:maj,A
56,G:maj,A
56,G:maj,G
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
57,A:min,A
58,E:maj,B
58,E:maj,B
58,E:maj,B
58,E:maj,E
58,E:maj,E
58,E:maj,B
58,E:maj,B
58,E:maj,E
58,E:maj,E
59,F:maj,C
59,F:maj,B
59,F:maj,A
59,F:maj,B
59,F:maj,C
59,F:maj,C
59,F:maj,A
59,F:maj,A
59,F:maj,B
59,F:maj,C
60,G:maj,C
60,G:maj,A
60,G:maj,A
60,G:maj,B
60,G:maj,C
60,G:maj,C
60,G:maj,B
60,G:maj,B
61,A:min,C
61,A:min,A
61,A:min,A
