measure,chord,note
1,C:maj,C
1,C:maj,B
1,C:maj,C
2,G:maj,C
2,G:maj,G
2,G:maj,B
2,G:maj,D
2,G:maj,G
3,C:maj,D
3,C:maj,C
4,C:maj,C
5,C:maj,C
5,C:maj,B
5,C:maj,C
6,C:maj,C
6,C:maj,G
6,C:maj,B
6,C:maj,D
6,C:maj,G
7,G:maj,D
8,G:maj,D
9,D:maj,D
9,D:maj,C#
9,D:maj,D
10,A:maj,D
10,A:maj,A
10,A:maj,D
10,A:maj,E
10,A:maj,A
11,D:maj,E
11,D:maj,D
12,G:maj,D
12,G:maj,E
12,G:maj,D
13,C:maj,C
14,A:min,C
14,A:min,D
14,A:min,C
15,G:maj,B
16,B:maj,B
17,E:maj,E
17,E:maj,D#
17,E:maj,E
18,E:maj,E
18,E:maj,B
18,E:maj,E
18,E:maj,F#
18,E:maj,B
19,E:maj,F#
19,E:maj,E
20,E:maj,E
21,E:maj,E
21,E:maj,D#
21,E:maj,E
22,E:maj,E
22,E:maj,B
22,E:maj,E
22,E:maj,F#
22,E:maj,B
23,G:maj,B
24,D:min,B
24,D:min,C
24,D:min,B
25,C:maj,A
25,C:maj,G
25,C:maj,E
25,C:maj,D
26,E:maj,E
26,E:maj,C
26,E:maj,B
27,A:min,A
27,A:min,G
27,A:min,E
27,A:min,D
28,D:maj,E
28,D:maj,C
28,D:maj,D
29,C:maj,E
29,C:maj,F
29,C:maj,G
30,F:maj,A
30,F:maj,B
31,A:min,C
32,D:maj,C
32,D:maj,B
32,D:maj,C
33,G:maj,D
33,G:maj,B
33,G:maj,C
34,G:maj,A
34,G:maj,B
35,C:maj,C
36,G:maj,C
37,C:maj,C
38,C:maj,C
