measure,chord,note
2,G:maj,D
2,G:maj,D
2,G:maj,E
2,G:maj,G
2,G:maj,B
2,G:maj,A
2,G:maj,G
2,G:maj,D
3,G:maj,E
3,G:maj,G
3,G:maj,G
3,G:maj,A
3,G:maj,G
3,G:maj,D
3,G:maj,D
3,G:maj,E
4,G:maj,G
4,G:maj,G
4,G:maj,G
4,G:maj,A#
4,G:maj,A
4,G:maj,G
4,G:maj,G
4,G:maj,A#
5,G:maj,A#
5,G:maj,A#
5,G:maj,A
5,G:maj,G
5,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,E
6,G:maj,G
6,G:maj,B
6,G:maj,A
6,G:maj,G
6,G:maj,D
7,G:maj,E
7,G:maj,G
7,G:maj,G
7,G:maj,A
7,G:maj,G
7,G:maj,D
8,G:maj,E
8,G:maj,G
8,G:maj,G
8,G:maj,E
8,G:maj,A#
8,G:maj,A
8,G:maj,G
8,G:maj,G
9,E:maj,B
9,E:maj,G
9,E:maj,G
9,E:maj,G
9,E:maj,G
9,E:maj,D
10,A:maj,E
10,A:maj,G
10,A:maj,G
10,A:maj,G
10,A:maj,G
10,A:maj,G
10,A:maj,B
10,A:maj,G
11,D:maj,A
11,D:maj,E
11,D:maj,G
11,D:maj,A#
12,C:maj,A#
12,C:maj,A
12,C:maj,G
12,C:maj,D
12,C:maj,A
12,C:maj,G
12,C:maj,G
13,G:maj,G
14,G:maj,E
14,G:maj,G
14,G:maj,G
14,G:maj,G
15,C:maj,A
15,C:maj,G
15,C:maj,E
15,C:maj,G
15,C:maj,G
15,C:maj,G
16,A:min,B
16,A:min,A
16,A:min,E
16,A:min,G
16,A:min,G
16,A:min,G
17,D:maj,B
17,D:maj,A
17,D:maj,E
17,D:maj,G
17,D:maj,G
17,D:maj,G
18,D:maj,C
18,D:maj,B
19,C:maj,E
19,C:maj,G
19,C:maj,G
19,C:maj,E
19,C:maj,G
19,C:maj,B
19,C:maj,G
20,D:maj,A
21,C:maj,A#
21,C:maj,A#
21,C:maj,A
21,C:maj,G
21,C:maj,A
21,C:maj,A
21,C:maj,G
22,D:maj,G
23,D:maj,D
24,G:maj,D
24,G:maj,D
24,G:maj,G
24,G:maj,G
24,G:maj,B
24,G:maj,A
24,G:maj,G
24,G:maj,G
25,D:maj,B
25,D:maj,A
25,D:maj,G
25,D:maj,A
25,D:maj,G
26,C:maj,E
26,C:maj,G
26,C:maj,G
26,C:maj,E
26,C:maj,G
26,C:maj,A
26,C:maj,G
26,C:maj,A
26,C:maj,B
27,C:maj,B
27,C:maj,B
27,C:maj,A
27,C:maj,G
27,C:maj,D
28,G:maj,G
28,G:maj,G
28,G:maj,G
28,G:maj,G
28,G:maj,A
28,G:maj,G
28,G:maj,G
28,G:maj,A
29,D:maj,B
29,D:maj,B
29,D:maj,B
29,D:maj,A
29,D:maj,G
29,D:maj,G
29,D:maj,G
29,D:maj,E
30,D:maj,G
30,D:maj,G
30,D:maj,E
30,D:maj,G
30,D:maj,G
30,D:maj,G
30,D:maj,G
30,D:maj,B
31,D:maj,B
31,D:maj,B
31,D:maj,A
31,D:maj,G
31,D:maj,D
32,A:maj,E
32,A:maj,G
32,A:maj,G
32,A:maj,G
32,A:maj,G
32,A:maj,G
32,A:maj,B
32,A:maj,G
33,D:maj,A
33,D:maj,E
33,D:maj,G
33,D:maj,A#
34,C:maj,A#
34,C:maj,A
34,C:maj,G
34,C:maj,D
34,C:maj,A
34,C:maj,G
34,C:maj,G
35,G:maj,G
40,G:maj,F
40,G:maj,G#
40,G:maj,G#
40,G:maj,G#
41,C#:maj,A#
41,C#:maj,G#
41,C#:maj,F
41,C#:maj,G#
41,C#:maj,G#
41,C#:maj,G#
42,A#:min,C
42,A#:min,A#
42,A#:min,F
42,A#:min,G#
42,A#:min,G#
42,A#:min,G#
43,D#:maj,C
43,D#:maj,A#
43,D#:maj,G#
43,D#:maj,G#
43,D#:maj,G#
43,D#:maj,G#
44,D#:maj,C#
44,D#:maj,C
44,D#:maj,D#
45,C#:maj,C#
45,C#:maj,F
45,C#:maj,G#
45,C#:maj,C
45,C#:maj,D#
45,C#:maj,G#
45,C#:maj,G#
45,C#:maj,C#
45,C#:maj,F
45,C#:maj,G#
45,C#:maj,G#
45,C#:maj,F
45,C#:maj,G#
45,C#:maj,C
45,C#:maj,G#
46,D#:maj,D#
46,D#:maj,G
46,D#:maj,A#
46,D#:maj,D#
47,C#:maj,C#
47,C#:maj,F
47,C#:maj,G#
47,C#:maj,C
47,C#:maj,D#
47,C#:maj,G#
47,C#:maj,G#
47,C#:maj,C#
47,C#:maj,F
47,C#:maj,G#
47,C#:maj,G#
47,C#:maj,F
47,C#:maj,G#
