measure,chord,note
1,C:maj,G
1,C:maj,F
1,C:maj,E
1,C:maj,E
1,C:maj,G
2,G:maj,F
2,G:maj,E
2,G:maj,D
3,A:min,E
3,A:min,E
3,A:min,E
3,A:min,E
3,A:min,E
4,E:min,B
4,E:min,A
5,C:maj,G
5,C:maj,F
5,C:maj,E
5,C:maj,E
5,C:maj,G
6,G:maj,F
6,G:maj,E
6,G:maj,D
7,A:min,E
7,A:min,E
7,A:min,E
7,A:min,E
7,A:min,E
8,E:min,E
9,F:maj,C
9,F:maj,B
9,F:maj,A
9,F:maj,G
9,F:maj,F
10,C:maj,G
10,C:maj,F
10,C:maj,E
10,C:maj,D
10,C:maj,E
10,C:maj,D
10,C:maj,C
11,F:maj,C
11,F:maj,B
11,F:maj,A
11,F:maj,G
11,F:maj,D
12,C:maj,C
12,C:maj,G
12,C:maj,A
13,C:maj,C
14,G:min,D
14,G:min,F
14,G:min,A
15,C:maj,G
15,C:maj,F
15,C:maj,E
15,C:maj,D
16,F:maj,C
16,F:maj,C
16,F:maj,C
17,D:min,D
18,G:min,D
18,G:min,F
18,G:min,A
19,C:maj,G
19,C:maj,F
19,C:maj,E
19,C:maj,D
20,F:maj,C
20,F:maj,F
20,F:maj,F
21,G:maj,G
21,G:maj,F
21,G:maj,F
22,G:maj,G
22,G:maj,F
22,G:maj,F
23,G:maj,G
24,G:maj,G
24,G:maj,A
25,C:maj,G
25,C:maj,F
25,C:maj,E
25,C:maj,E
25,C:maj,G
26,G:maj,F
26,G:maj,E
26,G:maj,D
27,A:min,E
27,A:min,E
27,A:min,E
27,A:min,E
27,A:min,E
28,E:min,B
28,E:min,A
29,C:maj,G
29,C:maj,F
29,C:maj,E
29,C:maj,E
29,C:maj,G
30,G:maj,F
30,G:maj,E
30,G:maj,D
31,A:min,E
31,A:min,E
31,A:min,E
31,A:min,E
31,A:min,E
32,E:min,E
33,F:maj,C
33,F:maj,B
33,F:maj,A
33,F:maj,G
33,F:maj,F
34,C:maj,G
34,C:maj,F
34,C:maj,E
34,C:maj,D
34,C:maj,E
34,C:maj,D
34,C:maj,C
35,F:maj,C
35,F:maj,B
35,F:maj,A
35,F:maj,G
35,F:maj,D
36,C:maj,C
