measure,chord,note
1,A:min,E
1,A:min,D
2,C:maj,E
3,F:maj,F
4,A:min,E
5,G:maj,E
5,G:maj,A
5,G:maj,C
5,G:maj,D
6,C:maj,E
6,C:maj,D
6,C:maj,D
6,C:maj,C
6,C:maj,C
6,C:maj,C
7,F:maj,A
7,F:maj,C
7,F:maj,D
7,F:maj,F
7,F:maj,E
7,F:maj,D
7,F:maj,C
7,F:maj,E
8,A:min,E
8,A:min,E
8,A:min,E
9,G:maj,D
9,G:maj,E
10,C:maj,E
10,C:maj,A
10,C:maj,C
10,C:maj,D
10,C:maj,E
10,C:maj,D
10,C:maj,D
10,C:maj,C
10,C:maj,C
11,F:maj,C
11,F:maj,G
11,F:maj,C
11,F:maj,D
12,A:min,F
12,A:min,E
12,A:min,D
12,A:min,C
12,A:min,E
12,A:min,E
12,A:min,D
12,A:min,C
13,C:maj,C
14,G:maj,D
15,G:maj,D
15,G:maj,C
15,G:maj,B
16,A:min,A
17,G:maj,E
17,G:maj,E
18,C:maj,E
18,C:maj,D
18,C:maj,D
18,C:maj,C
18,C:maj,C
19,F:maj,A
19,F:maj,C
19,F:maj,D
19,F:maj,F
19,F:maj,E
19,F:maj,D
19,F:maj,C
20,A:min,E
20,A:min,E
20,A:min,E
21,G:maj,E
21,G:maj,E
21,G:maj,E
21,G:maj,D
21,G:maj,D
21,G:maj,C
21,G:maj,C
22,C:maj,C
22,C:maj,C
22,C:maj,C
22,C:maj,C
22,C:maj,G
22,C:maj,C
22,C:maj,D
23,F:maj,F
23,F:maj,E
23,F:maj,E
23,F:maj,D
23,F:maj,C
23,F:maj,E
23,F:maj,D
23,F:maj,C
24,A:min,C
24,A:min,A
24,A:min,C
25,F:maj,D
25,F:maj,C
25,F:maj,A
25,F:maj,A
25,F:maj,A
26,F:maj,E
26,F:maj,D
26,F:maj,C
26,F:maj,B
26,F:maj,A
27,F:maj,A
27,F:maj,C
27,F:maj,C
27,F:maj,D
27,F:maj,C
27,F:maj,A
27,F:maj,A
27,F:maj,A
28,F:maj,A
28,F:maj,E
28,F:maj,D
28,F:maj,C
28,F:maj,B
28,F:maj,A
29,F:maj,E
29,F:maj,D
29,F:maj,C
29,F:maj,D
29,F:maj,C
29,F:maj,A
30,F:maj,E
30,F:maj,D
30,F:maj,C
30,F:maj,B
30,F:maj,B
30,F:maj,A
30,F:maj,A
30,F:maj,C
31,F:maj,E
31,F:maj,E
31,F:maj,F
31,F:maj,E
31,F:maj,C
31,F:maj,G
32,G:maj,A
32,G:maj,G
32,G:maj,A
32,G:maj,G
33,C:maj,G
33,C:maj,E
33,C:maj,E
33,C:maj,E
33,C:maj,E
33,C:maj,C
33,C:maj,C
33,C:maj,D
34,G:maj,D
34,G:maj,G
34,G:maj,D
34,G:maj,E
35,D:min,F
35,D:min,A
35,D:min,F
35,D:min,E
35,D:min,E
35,D:min,E
36,G:maj,E
36,G:maj,D
36,G:maj,D
36,G:maj,G
36,G:maj,A
36,G:maj,G
37,C:maj,G
37,C:maj,E
37,C:maj,E
37,C:maj,E
37,C:maj,E
37,C:maj,C
37,C:maj,C
37,C:maj,D
38,G:maj,D
38,G:maj,G
38,G:maj,D
38,G:maj,E
39,D:min,F
39,D:min,A
39,D:min,F
39,D:min,E
39,D:min,E
39,D:min,E
40,G:maj,E
40,G:maj,D
40,G:maj,D
41,G:maj,F
41,G:maj,E
41,G:maj,D
41,G:maj,C
42,A:min,A
43,G:maj,A
43,G:maj,C
43,G:maj,D
44,C:maj,E
44,C:maj,D
44,C:maj,D
44,C:maj,C
44,C:maj,C
44,C:maj,C
45,F:maj,A
45,F:maj,D
45,F:maj,E
45,F:maj,F
45,F:maj,F
45,F:maj,G
45,F:maj,A
46,A:min,E
46,A:min,E
46,A:min,E
47,G:maj,E
47,G:maj,E
47,G:maj,E
47,G:maj,D
47,G:maj,D
47,G:maj,C
48,C:maj,C
48,C:maj,C
48,C:maj,A
48,C:maj,D
48,C:maj,E
49,F:maj,F
49,F:maj,F
49,F:maj,G
49,F:maj,A
49,F:maj,E
49,F:maj,D
49,F:maj,E
50,A:min,E
50,A:min,E
50,A:min,D
50,A:min,D
50,A:min,C
51,F:maj,D
51,F:maj,C
51,F:maj,A
51,F:maj,A
51,F:maj,A
52,F:maj,E
52,F:maj,D
52,F:maj,C
52,F:maj,B
52,F:maj,A
52,F:maj,A
53,F:maj,A
53,F:maj,C
53,F:maj,C
53,F:maj,D
53,F:maj,C
53,F:maj,A
53,F:maj,A
53,F:maj,A
54,F:maj,A
54,F:maj,E
