measure,chord,note
2,C:maj,C
2,C:maj,C
2,C:maj,E
2,C:maj,E
3,E:maj,B
3,E:maj,B
3,E:maj,D
3,E:maj,D
4,F:maj,A
5,A:maj,A
5,A:maj,A
6,D:min,D
6,D:min,D
6,D:min,F
6,D:min,F
7,D:maj,C
7,D:maj,C
7,D:maj,D
7,D:maj,D
8,G:maj,B
9,G:maj,B
9,G:maj,G
10,C:maj,G
10,C:maj,G
10,C:maj,B
10,C:maj,B
11,G:maj,A
11,G:maj,G
12,C:maj,G
12,C:maj,G
12,C:maj,B
12,C:maj,B
13,G:maj,A
13,G:maj,G
14,C:maj,C
14,C:maj,C
14,C:maj,E
14,C:maj,E
15,D:maj,D
15,D:maj,D
15,D:maj,C
15,D:maj,C
16,G:maj,G
17,G:maj,G
17,G:maj,G
18,C:maj,C
18,C:maj,C
18,C:maj,E
18,C:maj,E
19,E:maj,B
19,E:maj,B
19,E:maj,D
19,E:maj,D
20,F:maj,A
21,A:maj,A
21,A:maj,A
22,D:min,D
22,D:min,D
22,D:min,F
22,D:min,F
23,D:maj,C
23,D:maj,C
23,D:maj,D
23,D:maj,D
24,G:maj,B
25,G:maj,B
25,G:maj,G
26,C:maj,G
26,C:maj,G
26,C:maj,B
26,C:maj,B
27,G:maj,A
27,G:maj,G
28,C:maj,G
28,C:maj,G
28,C:maj,A#
28,C:maj,A#
29,A:maj,A
29,A:maj,A
30,D:min,G
30,D:min,F
30,D:min,G
30,D:min,A
31,G:maj,E
31,G:maj,D
31,G:maj,G
31,G:maj,E
32,C:maj,C
33,D:min,C
33,D:min,G
34,C:maj,C
34,C:maj,C
34,C:maj,E
34,C:maj,E
35,E:maj,B
35,E:maj,B
35,E:maj,D
35,E:maj,D
36,F:maj,A
36,F:maj,A
36,F:maj,A
37,A:maj,A
37,A:maj,A
37,A:maj,A
37,A:maj,A
38,D:min,D
38,D:min,D
38,D:min,F
38,D:min,F
39,D:maj,C
39,D:maj,C
39,D:maj,D
39,D:maj,D
40,G:maj,B
40,G:maj,B
40,G:maj,B
41,G:maj,B
41,G:maj,B
41,G:maj,B
42,C:maj,G
42,C:maj,G
42,C:maj,B
42,C:maj,B
43,G:maj,A
43,G:maj,G
44,C:maj,G
44,C:maj,G
44,C:maj,B
44,C:maj,B
45,G:maj,A
45,G:maj,G
46,C:maj,C
46,C:maj,C
46,C:maj,E
46,C:maj,E
47,D:maj,D
47,D:maj,D
47,D:maj,C
47,D:maj,C
48,G:maj,G
48,G:maj,G
48,G:maj,G
49,G:maj,G
49,G:maj,G
49,G:maj,G
49,G:maj,G
50,C:maj,C
50,C:maj,C
50,C:maj,E
50,C:maj,E
51,E:maj,B
51,E:maj,B
51,E:maj,D
51,E:maj,D
52,F:maj,A
52,F:maj,A
52,F:maj,A
53,A:maj,A
53,A:maj,A
53,A:maj,A
53,A:maj,A
54,D:min,D
54,D:min,D
54,D:min,F
54,D:min,F
55,D:maj,C
55,D:maj,C
55,D:maj,D
55,D:maj,D
56,G:maj,B
56,G:maj,B
56,G:maj,B
57,G:maj,B
57,G:maj,B
57,G:maj,B
57,G:maj,G
58,C:maj,G
58,C:maj,G
58,C:maj,B
58,C:maj,B
59,G:maj,A
59,G:maj,G
60,C:maj,G
60,C:maj,G
60,C:maj,A#
60,C:maj,A#
61,A:maj,A
61,A:maj,A
61,A:maj,A
62,D:min,G
62,D:min,F
62,D:min,A
62,D:min,A
63,G:maj,E
63,G:maj,D
63,G:maj,G
63,G:maj,E
64,C:maj,C
65,D:min,C
65,D:min,G
66,C:maj,C
67,C:maj,C
