measure,chord,note
2,A:min,A
2,A:min,E
2,A:min,A
2,A:min,A
3,D:min,C
3,D:min,B
3,D:min,A
4,A:min,G
4,A:min,E
4,A:min,C
5,D:min,D
5,D:min,E
6,A:min,A
6,A:min,E
6,A:min,A
7,D:min,C
7,D:min,B
7,D:min,A
8,A:min,C
8,A:min,B
8,A:min,A
9,A:min,A
9,A:min,E
10,A:min,A
10,A:min,E
10,A:min,A
11,D:min,C
11,D:min,B
11,D:min,A
12,A:min,C
12,A:min,B
12,A:min,A
13,A:maj,G
13,A:maj,E
14,D:min,A
14,D:min,E
14,D:min,A
14,D:min,A
15,C:maj,C
15,C:maj,E
15,C:maj,A
16,A:min,C
16,A:min,A
16,A:min,E
17,D:min,D
18,D:min,E
19,A:min,A
19,A:min,E
19,A:min,A
19,A:min,A
20,D:min,C
20,D:min,B
20,D:min,A
21,A:min,G
21,A:min,E
21,A:min,C
22,D:min,D
22,D:min,E
23,A:min,A
23,A:min,E
23,A:min,A
24,D:min,C
24,D:min,B
24,D:min,A
25,A:min,C
25,A:min,B
25,A:min,A
26,A:min,A
26,A:min,E
27,A:min,A
27,A:min,E
27,A:min,A
28,D:min,C
28,D:min,B
28,D:min,A
29,A:min,C
29,A:min,B
29,A:min,A
30,A:maj,G
30,A:maj,E
30,A:maj,E
31,D:min,A
31,D:min,E
31,D:min,A
31,D:min,A
32,C:maj,C
32,C:maj,E
32,C:maj,A
33,A:min,C
33,A:min,A
33,A:min,E
34,D:min,D
35,D:min,E
36,A:min,A
36,A:min,E
36,A:min,A
37,D:min,C
37,D:min,B
37,D:min,A
38,A:min,G
38,A:min,E
38,A:min,C
39,D:min,D
39,D:min,E
40,A:min,A
40,A:min,E
40,A:min,A
41,D:min,C
41,D:min,B
41,D:min,A
42,A:min,C
42,A:min,B
42,A:min,A
43,A:min,A
43,A:min,E
44,A:min,A
44,A:min,E
44,A:min,A
45,D:min,C
45,D:min,B
45,D:min,A
46,A:min,C
46,A:min,B
46,A:min,A
47,A:maj,G
47,A:maj,E
48,D:min,A
48,D:min,E
48,D:min,A
48,D:min,A
49,C:maj,C
49,C:maj,E
49,C:maj,A
50,A:min,C
50,A:min,A
50,A:min,E
51,D:min,D
52,D:min,E
53,A:min,A
53,A:min,E
53,A:min,A
53,A:min,A
54,D:min,C
54,D:min,B
54,D:min,A
55,A:min,G
55,A:min,E
55,A:min,C
56,D:min,D
56,D:min,E
57,A:min,A
57,A:min,E
57,A:min,A
58,D:min,C
58,D:min,B
58,D:min,A
59,A:min,C
59,A:min,B
59,A:min,A
60,A:min,A
60,A:min,E
61,A:min,A
61,A:min,E
61,A:min,A
62,D:min,C
62,D:min,B
62,D:min,A
63,A:min,C
63,A:min,B
63,A:min,A
64,A:maj,G
64,A:maj,E
65,D:min,A
65,D:min,E
65,D:min,A
65,D:min,A
66,C:maj,C
66,C:maj,E
66,C:maj,A
67,A:min,C
67,A:min,A
67,A:min,E
68,D:min,D
