measure,chord,note
1,F:maj,C
1,F:maj,C
1,F:maj,C
2,F:maj,C
2,F:maj,C
3,A#:maj,C
3,A#:maj,C
3,A#:maj,C
4,A#:min,C
4,A#:min,A#
4,A#:min,A#
5,F:maj,A
5,F:maj,A
5,F:maj,A
6,G:maj,A
6,G:maj,A
7,C:maj,G
7,C:maj,G
7,C:maj,F
8,F:maj,F
9,F:maj,C
9,F:maj,C
9,F:maj,C
10,F:maj,C
10,F:maj,C
11,A#:maj,C
11,A#:maj,C
11,A#:maj,C
12,A#:min,C
12,A#:min,A#
12,A#:min,A#
13,F:maj,A
13,F:maj,A
13,F:maj,A
14,G:maj,A
14,G:maj,A
15,C:maj,G
15,C:maj,G
15,C:maj,F
16,F:maj,F
17,G:min,G
17,G:min,G
17,G:min,F
17,G:min,E
17,G:min,F
17,G:min,G
18,F:maj,A
18,F:maj,A
19,G:min,A#
19,G:min,A#
19,G:min,A
19,G:min,G
19,G:min,A
19,G:min,A#
20,E:maj,B
21,A:min,C
21,A:min,C
21,A:min,B
21,A:min,A
21,A:min,B
21,A:min,C
22,D:min,D
22,D:min,D
23,G:maj,D
23,G:maj,E
23,G:maj,G
23,G:maj,G
23,G:maj,E
23,G:maj,D
24,C:maj,C
25,C:maj,C
25,C:maj,C
25,C:maj,C
26,F:maj,C
26,F:maj,C
27,A#:maj,C
27,A#:maj,C
27,A#:maj,C
28,A#:min,C
28,A#:min,A#
28,A#:min,A#
29,F:maj,A
29,F:maj,A
29,F:maj,A
30,G:maj,A
30,G:maj,D
31,C:maj,G
31,C:maj,G
31,C:maj,F
32,F:maj,F
