measure,chord,note
2,F:maj,C
2,F:maj,D
2,F:maj,F
2,F:maj,F
2,F:maj,D
2,F:maj,C
3,F:maj,C
3,F:maj,D
3,F:maj,F
3,F:maj,F
3,F:maj,F
4,G:maj,G
4,G:maj,A
4,G:maj,G
4,G:maj,A
4,G:maj,G
5,G:maj,G
5,G:maj,A
6,C:maj,G
6,C:maj,A
6,C:maj,C
6,C:maj,C
6,C:maj,A
7,C:maj,G
7,C:maj,A
7,C:maj,C
7,C:maj,C
7,C:maj,A
8,A#:maj,F
8,A#:maj,G
8,A#:maj,F
8,A#:maj,D
8,A#:maj,C
9,F:maj,C
9,F:maj,D
10,F:maj,C
10,F:maj,D
10,F:maj,F
10,F:maj,F
10,F:maj,D
10,F:maj,C
11,F:maj,C
11,F:maj,D
11,F:maj,F
11,F:maj,F
11,F:maj,F
12,G:maj,G
12,G:maj,A
12,G:maj,G
12,G:maj,A
12,G:maj,G
13,G:maj,G
13,G:maj,A
14,C:maj,G
14,C:maj,A
14,C:maj,C
14,C:maj,A
15,C:maj,G
15,C:maj,A
15,C:maj,C
15,C:maj,C
15,C:maj,A
16,A#:maj,F
16,A#:maj,G
16,A#:maj,F
16,A#:maj,D
16,A#:maj,F
17,F:maj,F
17,F:maj,D
18,F:maj,C
18,F:maj,D
18,F:maj,F
18,F:maj,D
18,F:maj,C
19,F:maj,C
19,F:maj,D
19,F:maj,F
19,F:maj,F
19,F:maj,F
20,G:maj,G
20,G:maj,A
20,G:maj,G
20,G:maj,A
20,G:maj,G
21,G:maj,G
21,G:maj,A
22,C:maj,G
22,C:maj,A
22,C:maj,C
22,C:maj,A
22,C:maj,G
23,C:maj,G
23,C:maj,A
23,C:maj,C
23,C:maj,C
23,C:maj,A
24,A#:maj,F
24,A#:maj,G
24,A#:maj,F
24,A#:maj,D
24,A#:maj,F
25,F:maj,F
26,F:maj,A
26,F:maj,A
26,F:maj,A#
26,F:maj,A
26,F:maj,F
27,F:maj,F
28,F:maj,F
28,F:maj,F
28,F:maj,F
28,F:maj,E
28,F:maj,F
29,G:maj,G
30,G:maj,G
30,G:maj,A
31,C:maj,G
31,C:maj,A
31,C:maj,C
31,C:maj,A
32,C:maj,G
32,C:maj,A
32,C:maj,C
32,C:maj,C
32,C:maj,A
33,A#:maj,F
33,A#:maj,G
33,A#:maj,F
33,A#:maj,D
33,A#:maj,F
34,F:maj,F
34,F:maj,D
