measure,chord,note
2,G:maj,D
2,G:maj,D
2,G:maj,D
2,G:maj,D
3,D:maj,D
3,D:maj,C
3,D:maj,B
3,D:maj,C
4,D:min,D
4,D:min,D
4,D:min,C
4,D:min,B
5,C:maj,G
5,C:maj,G
6,C:min,C
6,C:min,C
6,C:min,B
6,C:min,G
7,G:maj,D
7,G:maj,D
8,C:min,D#
8,C:min,D#
8,C:min,G
8,C:min,D
8,C:min,G
9,D:maj,A
9,D:maj,B
9,D:maj,C
10,G:maj,D
10,G:maj,D
10,G:maj,D
10,G:maj,D
11,D:maj,D
11,D:maj,C
11,D:maj,B
11,D:maj,C
12,D:min,D
12,D:min,D
12,D:min,C
12,D:min,B
12,D:min,B
13,C:maj,G
13,C:maj,G
14,C:min,C
14,C:min,C
14,C:min,B
14,C:min,G
15,G:maj,D
15,G:maj,D
16,C:min,D#
16,C:min,D#
16,C:min,G
16,C:min,D
16,C:min,G
17,D:maj,A
17,D:maj,G
18,E:min,B
18,E:min,E
19,B:maj,F#
19,B:maj,G
20,E:min,B
20,E:min,B
20,E:min,B
20,E:min,A
20,E:min,G
20,E:min,A
21,A:maj,A
21,A:maj,E
22,B:min,D
22,B:min,A
23,E:maj,G#
23,E:maj,D
24,A:min,C
24,A:min,G
25,D:maj,F#
25,D:maj,B
25,D:maj,C
26,D:maj,A
26,D:maj,G
27,E:min,B
27,E:min,E
28,B:maj,F#
28,B:maj,G
29,E:min,B
29,E:min,B
29,E:min,B
29,E:min,A
29,E:min,G
29,E:min,A
30,A:maj,A
30,A:maj,E
31,B:min,D
31,B:min,A
32,E:maj,G#
32,E:maj,D
33,A:min,C
33,A:min,D
34,D:maj,E
34,D:maj,F#
35,G:maj,G
36,A:min,G
37,C:min,G
38,G:maj,G
