measure,chord,note
2,C:maj,G
2,C:maj,G
3,F:maj,A
3,F:maj,A
3,F:maj,G
3,F:maj,E
3,F:maj,C
4,C:maj,E
4,C:maj,C
5,C:maj,C
5,C:maj,E
5,C:maj,G
5,C:maj,G
5,C:maj,E
6,C:maj,G
6,C:maj,G
7,C:maj,A
7,C:maj,A
7,C:maj,G
7,C:maj,A
8,G:maj,G
9,G:maj,G
9,G:maj,A
9,G:maj,G
9,G:maj,A
10,C:maj,C
10,C:maj,A
10,C:maj,C
11,C:maj,A
11,C:maj,A
11,C:maj,G
11,C:maj,E
11,C:maj,C
12,A:min,E
12,A:min,E
13,A:min,A
13,A:min,A
13,A:min,A
13,A:min,G
14,F:maj,A
14,F:maj,A
14,F:maj,G
14,F:maj,G
15,F:maj,A
15,F:maj,A
15,F:maj,A
15,F:maj,A
15,F:maj,G
15,F:maj,G
16,F:maj,A
16,F:maj,G
17,G:maj,G
17,G:maj,G
17,G:maj,G
17,G:maj,G
18,G:maj,E
19,A:min,C
19,A:min,E
19,A:min,G
19,A:min,E
20,C:maj,C
21,F:maj,C
