measure,chord,note
1,C:maj,C
2,E:min,E
2,E:min,D
2,E:min,A#
2,E:min,A#
3,A:maj,A
4,F:min,D#
4,F:min,D
4,F:min,C
4,F:min,G#
5,C:maj,G
5,C:maj,G
5,C:maj,E
6,G:maj,G
6,G:maj,F
6,G:maj,G#
6,G:maj,G#
7,C:maj,C
8,G:maj,C
8,G:maj,A#
9,C:maj,G
10,F:maj,G
11,C:maj,C
12,E:min,E
12,E:min,D
12,E:min,A#
12,E:min,A#
13,A:maj,A
14,F:min,D#
14,F:min,D
14,F:min,C
14,F:min,G#
15,C:maj,G
15,C:maj,G
15,C:maj,E
16,G:maj,G
16,G:maj,F
16,G:maj,G#
16,G:maj,G#
17,C:maj,C
18,G:maj,C
18,G:maj,A#
18,G:maj,A#
18,G:maj,A#
19,C:maj,G
20,G:maj,G
20,G:maj,G
20,G:maj,D#
21,E:maj,E
21,E:maj,E
21,E:maj,D#
21,E:maj,E
21,E:maj,E
21,E:maj,D#
22,G:min,E
22,G:min,E
22,G:min,D#
22,G:min,E
22,G:min,E
23,A:maj,E
23,A:maj,E
23,A:maj,E
23,A:maj,E
23,A:maj,F#
24,A:maj,F#
24,A:maj,F#
24,A:maj,F
25,E:maj,E
25,E:maj,E
25,E:maj,F
25,E:maj,E
25,E:maj,E
25,E:maj,F
26,G:min,E
26,G:min,E
26,G:min,F
26,G:min,E
26,G:min,E
26,G:min,F
27,E:min,E
27,E:min,A
27,E:min,A
27,E:min,A
27,E:min,A
27,E:min,A
28,D:min,F
28,D:min,G#
28,D:min,G
29,C:maj,C
30,G:min,E
30,G:min,D
30,G:min,A#
30,G:min,A#
31,A:maj,A
32,C:min,D#
32,C:min,D
32,C:min,C
32,C:min,G#
33,C:maj,G
33,C:maj,G
33,C:maj,E
34,G:maj,G
34,G:maj,F
34,G:maj,G#
34,G:maj,G#
35,C:maj,C
36,D:maj,C
36,D:maj,D
37,C:maj,E
38,D:maj,E
38,D:maj,D
39,C:maj,E
40,C:maj,E
41,C:maj,E
42,C:maj,E
