measure,chord,note
1,D:maj,C
2,G:maj,B
2,G:maj,G
2,G:maj,A
2,G:maj,B
2,G:maj,C
3,C:maj,C
4,C:maj,B
4,C:maj,G
4,C:maj,A
4,C:maj,B
4,C:maj,C
5,G:min,C
6,C:maj,D
6,C:maj,A
6,C:maj,C
6,C:maj,D
6,C:maj,E
7,F:maj,E
8,F:maj,D
8,F:maj,A
8,F:maj,C
8,F:maj,D
8,F:maj,A
9,F:maj,A
10,F:min,C
10,F:min,D
10,F:min,D
10,F:min,C
10,F:min,E
11,C:maj,E
12,A:maj,B
12,A:maj,G
12,A:maj,A
12,A:maj,B
12,A:maj,C
13,D:maj,C
14,D:maj,C
14,D:maj,E
14,D:maj,E
14,D:maj,C
14,D:maj,G
15,D:min,G
16,G:maj,B
16,G:maj,G
16,G:maj,A
16,G:maj,B
16,G:maj,C
17,D:maj,C
18,G:maj,B
18,G:maj,G
18,G:maj,A
18,G:maj,B
18,G:maj,C
19,C:maj,C
20,C:maj,B
20,C:maj,G
20,C:maj,A
20,C:maj,B
20,C:maj,C
21,G:min,C
22,C:maj,D
22,C:maj,A
22,C:maj,C
22,C:maj,D
22,C:maj,E
23,F:maj,E
24,F:maj,D#
24,F:maj,A
24,F:maj,A
24,F:maj,D#
24,F:maj,A
25,F:maj,A
26,F#:min,D#
26,F#:min,A
26,F#:min,A
26,F#:min,D#
26,F#:min,A
27,C:maj,A
28,A:maj,D#
28,A:maj,A
28,A:maj,A
28,A:maj,D#
28,A:maj,A
29,D:maj,A
30,G:maj,B
30,G:maj,G
30,G:maj,A
30,G:maj,B
30,G:maj,C
31,C:maj,C
