measure,chord,note
0,G:maj,E
0,G:maj,D
1,C:maj,E
1,C:maj,E
1,C:maj,E
2,C:maj,F
2,C:maj,E
2,C:maj,D
2,C:maj,C
3,A#:maj,C
3,A#:maj,A#
3,A#:maj,A#
4,A#:maj,A#
4,A#:maj,A#
4,A#:maj,A#
5,A#:maj,B
5,A#:maj,B
6,A#:maj,B
6,A#:maj,C
6,A#:maj,B
6,A#:maj,A
6,A#:maj,B
7,C:maj,C
8,G:maj,C
8,G:maj,E
8,G:maj,D
9,C:maj,E
9,C:maj,E
9,C:maj,E
10,C:maj,F
10,C:maj,E
10,C:maj,D
10,C:maj,C
11,A#:maj,C
11,A#:maj,A#
11,A#:maj,A#
12,A#:maj,A#
12,A#:maj,A#
12,A#:maj,A#
13,A#:maj,B
13,A#:maj,B
14,A#:maj,B
14,A#:maj,C
14,A#:maj,B
14,A#:maj,A
14,A#:maj,B
15,C:maj,C
16,C:maj,C
16,C:maj,C
16,C:maj,D
17,A:maj,E
17,A:maj,E
17,A:maj,E
17,A:maj,E
18,E:maj,E
18,E:maj,E
18,E:maj,E
18,E:maj,E
19,C#:min,G#
19,C#:min,E
20,A:maj,E
20,A:maj,A
20,A:maj,B
21,F#:min,C#
21,F#:min,C#
21,F#:min,C#
21,F#:min,C#
22,C#:maj,E
22,C#:maj,E
22,C#:maj,D
22,C#:maj,D
23,F#:min,C#
24,A:maj,C#
24,A:maj,C#
24,A:maj,D
25,A:maj,E
25,A:maj,E
25,A:maj,E
25,A:maj,E
26,B:min,E
26,B:min,E
26,B:min,E
26,B:min,E
27,A:maj,A
27,A:maj,E
28,A:maj,E
28,A:maj,E
28,A:maj,F#
29,E:maj,G#
29,E:maj,G#
29,E:maj,G#
30,B:maj,F#
30,B:maj,E
30,B:maj,D#
30,B:maj,B
31,E:maj,E
32,D:min,E
32,D:min,E
32,D:min,D
33,C:maj,E
33,C:maj,E
33,C:maj,E
34,C:maj,F
34,C:maj,E
34,C:maj,D
34,C:maj,C
35,A#:maj,C
35,A#:maj,A#
35,A#:maj,A#
36,A#:maj,A#
36,A#:maj,A#
36,A#:maj,A#
37,G:maj,B
37,G:maj,B
38,G:maj,B
38,G:maj,C
38,G:maj,B
38,G:maj,A
38,G:maj,B
39,C:maj,E
40,C:maj,E
40,C:maj,D
40,C:maj,E
41,F:maj,F
41,F:maj,F
41,F:maj,F
42,F:min,F
42,F:min,G
42,F:min,F
42,F:min,E
42,F:min,D
42,F:min,E
43,C:maj,C
43,C:maj,G
44,F:maj,G
44,F:maj,G
44,F:maj,F
45,C:maj,E
45,C:maj,F
45,C:maj,E
46,D:min,D
46,D:min,E
46,D:min,D
47,C:maj,C
48,D:min,E
48,D:min,D
49,C:maj,C
50,C:maj,C
