measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,E
2,F:maj,E
2,F:maj,D
2,F:maj,C
2,F:maj,A
3,C:maj,G
4,C:maj,G
4,C:maj,G
4,C:maj,A
4,C:maj,G
5,G:maj,G
5,G:maj,E
5,G:maj,D
6,G:maj,G
6,G:maj,A
6,G:maj,G
7,C:maj,G
7,C:maj,G
7,C:maj,G
7,C:maj,G
7,C:maj,G
8,F:maj,G
8,F:maj,F
8,F:maj,F
9,C:maj,E
9,C:maj,E
9,C:maj,E
9,C:maj,F
9,C:maj,E
10,G:maj,E
10,G:maj,D
11,C:maj,E
11,C:maj,E
11,C:maj,E
12,G:maj,D
12,G:maj,D
12,G:maj,E
12,G:maj,D
13,C:maj,C
14,C:maj,C
14,C:maj,C
14,C:maj,C
14,C:maj,A
14,C:maj,A
14,C:maj,C
