measure,chord,note
5,E:min,E
6,E:min,E
6,E:min,B
6,E:min,C
6,E:min,B
7,B:min,F#
7,B:min,F#
8,B:min,F#
8,B:min,G
8,B:min,F#
8,B:min,D
9,C:maj,E
13,E:min,B
13,E:min,B
14,E:min,C
14,E:min,B
14,E:min,C
14,E:min,B
15,B:min,B
15,B:min,B
16,B:min,C
16,B:min,B
16,B:min,C
16,B:min,B
17,C:maj,G
21,A:min,C
21,A:min,C
22,A:min,D
22,A:min,C
22,A:min,C
22,A:min,B
23,F:maj,C
23,F:maj,A
23,F:maj,C
24,F:maj,D
24,F:maj,C
24,F:maj,C
24,F:maj,B
25,G:maj,D
25,G:maj,C
26,G:maj,E
26,G:maj,D
26,G:maj,D
26,G:maj,C
27,C:maj,E
29,A:min,A
29,A:min,C
30,A:min,D
30,A:min,C
30,A:min,C
30,A:min,B
31,F:maj,C
31,F:maj,A
31,F:maj,C
32,F:maj,D
32,F:maj,C
32,F:maj,C
32,F:maj,C
33,D:min,E
33,D:min,D
33,D:min,D
33,D:min,C
34,D:min,C
34,D:min,B
34,D:min,B
34,D:min,A
35,G:maj,B
35,G:maj,B
35,G:maj,B
35,G:maj,C
36,G:maj,D
39,A:min,A
39,A:min,B
39,A:min,C
40,F:maj,F
40,F:maj,B
40,F:maj,C
41,G:maj,D
41,G:maj,C
41,G:maj,C
41,G:maj,B
42,E:min,G
42,E:min,G
42,E:min,E
43,F:maj,C
43,F:maj,C
43,F:maj,A
44,C:maj,G
44,C:maj,E
44,C:maj,C
45,C:maj,E
47,A:min,A
47,A:min,B
47,A:min,C
48,F:maj,F
48,F:maj,B
48,F:maj,C
49,G:maj,D
49,G:maj,C
49,G:maj,C
49,G:maj,B
50,E:min,G
50,E:min,G
50,E:min,E
51,F:maj,C
51,F:maj,C
51,F:maj,A
52,C:maj,G
52,C:maj,E
52,C:maj,G
53,G:maj,G
59,A:min,A
59,A:min,B
59,A:min,C
60,F:maj,F
60,F:maj,B
60,F:maj,C
61,G:maj,E
61,G:maj,D
61,G:maj,D
61,G:maj,B
62,E:min,G
62,E:min,G
62,E:min,E
63,F:maj,C
63,F:maj,C
63,F:maj,A
64,C:maj,G
64,C:maj,E
64,C:maj,C
65,C:maj,E
67,A:min,A
67,A:min,B
67,A:min,C
68,F:maj,F
68,F:maj,B
68,F:maj,C
69,G:maj,E
69,G:maj,D
69,G:maj,D
69,G:maj,B
70,E:min,G
70,E:min,G
70,E:min,E
71,F:maj,C
71,F:maj,C
71,F:maj,A
72,C:maj,G
72,C:maj,E
72,C:maj,G
73,G:maj,G
