measure,chord,note
1,C:maj,D#
1,C:maj,F
2,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,A
2,C:maj,G
2,C:maj,C
2,C:maj,D
3,F:maj,E
3,F:maj,E
3,F:maj,E
3,F:maj,F
3,F:maj,F
4,C:maj,E
4,C:maj,E
4,C:maj,C
4,C:maj,B
4,C:maj,C
4,C:maj,D
4,C:maj,B
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,E
5,C:maj,F
6,C:maj,G
6,C:maj,G
6,C:maj,G
6,C:maj,A
6,C:maj,G
6,C:maj,C
6,C:maj,D
7,F:maj,E
7,F:maj,E
7,F:maj,E
7,F:maj,F
7,F:maj,F
8,C:maj,E
8,C:maj,E
8,C:maj,C
8,C:maj,B
8,C:maj,C
8,C:maj,D
8,C:maj,B
9,C:maj,C
9,C:maj,C
9,C:maj,C
10,C:maj,D
10,C:maj,C
11,F:maj,B
11,F:maj,A
11,F:maj,A
11,F:maj,C
11,F:maj,A
12,C:maj,A
12,C:maj,G
12,C:maj,G
12,C:maj,A
12,C:maj,G
13,G:maj,G
13,G:maj,G
13,G:maj,E
13,G:maj,F
13,G:maj,G
13,G:maj,A
13,G:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,G
14,C:maj,C
14,C:maj,B
15,F:maj,B
15,F:maj,A
15,F:maj,A
15,F:maj,C
15,F:maj,A
16,C:maj,A
16,C:maj,G
16,C:maj,G
16,C:maj,C
16,C:maj,D
17,G:maj,E
17,G:maj,E
17,G:maj,C
17,G:maj,B
17,G:maj,C
17,G:maj,D
17,G:maj,B
18,C:maj,C
18,C:maj,C
