measure,chord,note
1,F:maj,C
1,F:maj,F
1,F:maj,G
1,F:maj,A
2,F:maj,A
2,F:maj,A#
2,F:maj,C
2,F:maj,C
2,F:maj,A#
2,F:maj,A
3,G:min,G
3,G:min,C
3,G:min,C
3,G:min,C
3,G:min,C
4,C:maj,C
5,F:maj,C
5,F:maj,F
5,F:maj,G
5,F:maj,A
6,F:maj,A
6,F:maj,A#
6,F:maj,C
6,F:maj,C
6,F:maj,A#
6,F:maj,A
7,G:min,G
7,G:min,G
7,G:min,G
7,G:min,A
7,G:min,G
8,C:maj,G
9,A:min,E
9,A:min,C
9,A:min,A#
9,A:min,A
10,A:min,A
10,A:min,G
10,A:min,G
10,A:min,F
10,A:min,E
10,A:min,F
10,A:min,G
11,G:min,G
11,G:min,G
11,G:min,G
11,G:min,A
11,G:min,G
12,C:maj,G
13,G:min,C
13,G:min,G
13,G:min,A
13,G:min,A#
14,C:maj,A#
14,C:maj,C
14,C:maj,A
14,C:maj,A
14,C:maj,G
15,F:maj,A
15,F:maj,A
15,F:maj,A
15,F:maj,F
16,F:maj,F
16,F:maj,C
17,G:min,D
17,G:min,C
17,G:min,C
18,C:maj,C
18,C:maj,A
19,G:min,A#
19,G:min,C
19,G:min,A#
19,G:min,A#
19,G:min,A
19,G:min,A
19,G:min,G
20,G:min,G
21,C:maj,C
21,C:maj,E
21,C:maj,G
22,C:maj,A#
22,C:maj,A#
22,C:maj,A
22,C:maj,G
22,C:maj,A
23,F:maj,A
23,F:maj,A
23,F:maj,G
23,F:maj,A
23,F:maj,G
24,F:maj,A
24,F:maj,G
24,F:maj,F
25,D:min,A
25,D:min,A#
25,D:min,A
25,D:min,A
25,D:min,G
25,D:min,F
26,D:min,F
27,G:min,A#
27,G:min,C
27,G:min,A#
27,G:min,A#
27,G:min,A
27,G:min,G
28,G:min,G
29,C:maj,C
29,C:maj,E
29,C:maj,G
30,C:maj,A#
30,C:maj,A#
30,C:maj,A
30,C:maj,A#
30,C:maj,C
31,A:min,C
32,D:maj,C
32,D:maj,D
32,D:maj,C
33,G:min,D
33,G:min,C
34,C:maj,C
35,F:maj,A
35,F:maj,A
35,F:maj,A
35,F:maj,A
35,F:maj,G
35,F:maj,A
36,F:maj,A
36,F:maj,G
36,F:maj,F
37,F:maj,F
