measure,chord,note
2,C:maj,G
3,A:min,G
3,A:min,F
3,A:min,A
3,A:min,G
3,A:min,C
3,A:min,D
4,C:maj,E
5,C:maj,E
5,C:maj,G
5,C:maj,A
5,C:maj,G
6,D:maj,D
7,G:maj,D
7,G:maj,D
7,G:maj,E
7,G:maj,D
7,G:maj,A
8,C:maj,C
9,C:maj,C
9,C:maj,C
9,C:maj,C
9,C:maj,D
9,C:maj,F
10,F:maj,A
10,F:maj,F
11,F:maj,F
11,F:maj,F
11,F:maj,G
11,F:maj,A
12,C:maj,G
12,C:maj,G
12,C:maj,E
12,C:maj,G
13,C:maj,G
13,C:maj,E
13,C:maj,E
13,C:maj,E
13,C:maj,C
14,C:maj,E
14,C:maj,C
14,C:maj,D
14,C:maj,C
15,A:min,E
15,A:min,C
15,A:min,D#
15,A:min,C
15,A:min,D#
16,G:maj,D
17,G:maj,D
17,G:maj,G
17,G:maj,A
17,G:maj,G
18,C:maj,G
19,A:min,G
19,A:min,F
19,A:min,A
19,A:min,G
19,A:min,C
19,A:min,D
20,C:maj,E
21,C:maj,E
21,C:maj,G
21,C:maj,A
21,C:maj,G
22,D:maj,D
23,G:maj,D
23,G:maj,D
23,G:maj,E
23,G:maj,D
23,G:maj,A
23,G:maj,G
24,C:maj,C
25,C:maj,C
26,D:maj,D
27,G:maj,D
27,G:maj,D
27,G:maj,E
27,G:maj,D
27,G:maj,A
27,G:maj,G
28,C:maj,C
29,C:maj,C
