measure,chord,note
0,C:maj,C
1,B:min,D
1,B:min,E
2,F:maj,F
2,F:maj,F
2,F:maj,F
2,F:maj,F
2,F:maj,F
3,C:maj,E
3,C:maj,E
3,C:maj,C
4,G:maj,D
4,G:maj,E
4,G:maj,D
4,G:maj,E
4,G:maj,D
5,C:maj,C
5,C:maj,E
5,C:maj,C
5,C:maj,E
5,C:maj,C
5,C:maj,C
5,C:maj,D
5,C:maj,E
6,F:maj,F
6,F:maj,F
6,F:maj,F
6,F:maj,F
6,F:maj,F
7,C:maj,E
7,C:maj,E
7,C:maj,E
7,C:maj,D
7,C:maj,C
7,C:maj,C
7,C:maj,C
7,C:maj,C
8,D:maj,D
8,D:maj,D
8,D:maj,F
8,D:maj,E
8,D:maj,D
9,C:maj,C
10,C:maj,C
11,G:maj,G
11,G:maj,F
12,C:maj,E
12,C:maj,G
12,C:maj,C
12,C:maj,E
13,G:maj,F
13,G:maj,F
13,G:maj,E
13,G:maj,D
13,G:maj,D
13,G:maj,C
14,G:maj,B
15,G:maj,B
15,G:maj,A
15,G:maj,G
15,G:maj,B
16,G:maj,D
16,G:maj,F
16,G:maj,A
16,G:maj,A
17,C:maj,G
17,C:maj,F
17,C:maj,E
18,C:maj,E
18,C:maj,E
18,C:maj,E
19,C:maj,E
19,C:maj,E
19,C:maj,D
19,C:maj,C
20,C:maj,D
20,C:maj,C
20,C:maj,A
20,C:maj,C
21,F:maj,C
22,G:maj,B
22,G:maj,A
22,G:maj,G
22,G:maj,B
23,G:maj,D
23,G:maj,F
23,G:maj,E
24,C:maj,D
24,C:maj,C
25,G:maj,C
25,G:maj,G
25,G:maj,F
26,C:maj,E
26,C:maj,G
26,C:maj,C
26,C:maj,E
27,G:maj,F
27,G:maj,F
27,G:maj,E
27,G:maj,D
27,G:maj,D
27,G:maj,C
28,G:maj,B
29,G:maj,B
29,G:maj,A
29,G:maj,G
29,G:maj,B
30,G:maj,D
30,G:maj,F
30,G:maj,A
30,G:maj,A
30,G:maj,A
31,C:maj,G
31,C:maj,G
31,C:maj,F
31,C:maj,E
32,C:maj,E
32,C:maj,E
32,C:maj,E
33,C:maj,E
33,C:maj,E
33,C:maj,D
33,C:maj,C
34,C:maj,D
34,C:maj,C
34,C:maj,A
34,C:maj,C
35,F:maj,C
36,G:maj,B
36,G:maj,A
36,G:maj,G
36,G:maj,B
37,G:maj,D
