measure,chord,note
1,C:maj,C
1,C:maj,C
1,C:maj,A#
1,C:maj,G#
2,C#:maj,G
2,C#:maj,G#
2,C#:maj,A#
2,C#:maj,C#
3,C:maj,C
3,C:maj,G
4,C#:maj,A#
4,C#:maj,G#
4,C#:maj,G
4,C#:maj,F
5,C:maj,G
6,C:maj,G
6,C:maj,E
6,C:maj,F
6,C:maj,G
7,C#:maj,G#
7,C#:maj,G#
7,C#:maj,G#
8,C#:maj,G#
8,C#:maj,G#
8,C#:maj,G#
9,A#:min,A#
9,A#:min,A#
9,A#:min,A#
10,A#:min,B
10,A#:min,C
10,A#:min,C#
11,C:maj,C
12,C:maj,C
13,C:maj,C
13,C:maj,C
13,C:maj,A#
13,C:maj,G#
14,C#:maj,G
14,C#:maj,G#
14,C#:maj,A#
14,C#:maj,C#
15,C:maj,C
15,C:maj,G
16,C#:maj,A#
16,C#:maj,G#
16,C#:maj,G
16,C#:maj,F
17,C:maj,G
18,C:maj,G
18,C:maj,E
18,C:maj,F
18,C:maj,G
19,C#:maj,G#
19,C#:maj,G#
19,C#:maj,G#
20,C#:maj,A
20,C#:maj,G#
20,C#:maj,G#
21,A#:min,A#
21,A#:min,A#
21,A#:min,A#
22,A#:min,B
22,A#:min,C#
23,C:maj,C
24,C:maj,C
24,C:maj,C
24,C:maj,C#
25,D#:maj,D#
26,D#:maj,D#
26,D#:maj,C#
26,D#:maj,D#
26,D#:maj,C#
27,C:maj,C
28,C:maj,C
28,C:maj,G
29,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
29,C:maj,C
30,A#:maj,A#
30,A#:maj,D
31,A#:maj,C
31,A#:maj,G
31,A#:maj,C
31,A#:maj,G
32,A#:maj,A#
32,A#:maj,A#
32,A#:maj,A#
33,C:maj,G
34,C#:maj,G
34,C#:maj,F
34,C#:maj,G
34,C#:maj,F
35,C:maj,E
35,C:maj,C
35,C:maj,C
35,C:maj,C
36,C:maj,C
36,C:maj,G
37,C:maj,C
37,C:maj,C
37,C:maj,C
37,C:maj,C
37,C:maj,G
38,A#:maj,A#
39,C:maj,E
39,C:maj,C
40,A#:maj,A#
40,A#:maj,A#
40,A#:maj,A#
41,C:maj,G
42,C#:maj,G
42,C#:maj,F
42,C#:maj,G
42,C#:maj,F
43,C:maj,E
43,C:maj,C
43,C:maj,C
43,C:maj,C
44,C:maj,C
44,C:maj,C
45,F:maj,F
45,F:maj,F
45,F:maj,F
45,F:maj,F
45,F:maj,C
46,D#:maj,D#
47,F:maj,F
47,F:maj,F
47,F:maj,F
47,F:maj,C
48,D#:maj,D#
48,D#:maj,C
49,F:maj,F
49,F:maj,G
49,F:maj,F
50,D#:maj,D#
50,D#:maj,F
50,D#:maj,D#
51,C#:maj,C#
51,C#:maj,D#
51,C#:maj,F
51,C#:maj,F
51,C#:maj,D#
51,C#:maj,C#
52,C:maj,C
52,C:maj,C#
52,C:maj,C#
53,C:maj,C
53,C:maj,C#
53,C:maj,C#
54,C:maj,C
54,C:maj,G
55,C:maj,C
55,C:maj,C
55,C:maj,C
55,C:maj,C
55,C:maj,C
56,A#:maj,A#
56,A#:maj,G
57,C:maj,C
57,C:maj,C
57,C:maj,C
57,C:maj,G
58,A#:maj,A#
58,A#:maj,A#
58,A#:maj,A#
59,C:maj,G
60,C#:maj,G
60,C#:maj,F
60,C#:maj,G
60,C#:maj,F
61,C:maj,G
61,C:maj,C
61,C:maj,C
61,C:maj,C
62,C#:maj,C
62,C#:maj,F
62,C#:maj,G
62,C#:maj,F
