measure,chord,note
1,C:maj,E
1,C:maj,D#
1,C:maj,E
2,B:maj,E
2,B:maj,D#
2,B:maj,E
2,B:maj,D#
3,B:min,E
3,B:min,D#
3,B:min,E
4,E:maj,E
4,E:maj,D#
4,E:maj,E
4,E:maj,D#
5,G:min,E
5,G:min,D#
5,G:min,E
6,A:maj,E
6,A:maj,D#
6,A:maj,E
6,A:maj,A
7,D:maj,E
8,D:maj,E
9,G:maj,E
9,G:maj,D#
9,G:maj,E
10,G:maj,E
10,G:maj,D#
10,G:maj,E
10,G:maj,D#
11,C:maj,E
11,C:maj,D#
11,C:maj,E
12,C:maj,E
12,C:maj,D#
12,C:maj,E
12,C:maj,G
13,F:maj,A
13,F:maj,G#
13,F:maj,A
14,F:maj,A
14,F:maj,G#
14,F:maj,A
14,F:maj,C
15,A#:maj,D
16,E:maj,D
17,A:min,C
17,A:min,B
17,A:min,C
18,E:maj,C
18,E:maj,B
18,E:maj,C
18,E:maj,B
19,A:min,C
19,A:min,D
19,A:min,D
19,A:min,E
20,D:maj,E
20,D:maj,D
20,D:maj,D
20,D:maj,C
21,C:maj,A
21,C:maj,G#
21,C:maj,A
22,C:maj,A
22,C:maj,G#
22,C:maj,A
22,C:maj,C
23,A:maj,F
24,A:maj,F
24,A:maj,E
24,A:maj,G
24,A:maj,F
25,D:maj,E
25,D:maj,D#
25,D:maj,E
26,G:maj,E
26,G:maj,D#
26,G:maj,E
26,G:maj,G
27,C:maj,A
27,C:maj,G#
27,C:maj,A
28,C:maj,A
28,C:maj,G#
28,C:maj,A
28,C:maj,C
29,D:maj,D
29,D:maj,C#
29,D:maj,D
29,D:maj,E
30,D:min,C
30,D:min,D
31,C:maj,C
32,D:maj,C
33,C:maj,C
34,C:maj,C
