measure,chord,note
1,F:maj,A
1,F:maj,G#
1,F:maj,A
1,F:maj,F
2,C:maj,G
2,C:maj,A
2,C:maj,G
3,F:maj,F
3,F:maj,F
3,F:maj,G
3,F:maj,G#
4,F:maj,A
5,C:maj,E
5,C:maj,D#
5,C:maj,E
5,C:maj,F
6,C:maj,G
6,C:maj,A
6,C:maj,G
6,C:maj,C
7,F:maj,F
7,F:maj,F
7,F:maj,G
7,F:maj,G#
8,F:maj,A
9,F:maj,A
9,F:maj,G#
9,F:maj,A
9,F:maj,F
10,C:maj,G
10,C:maj,A
10,C:maj,G
10,C:maj,E
11,F:maj,F
11,F:maj,F
11,F:maj,G
11,F:maj,G#
12,D:maj,A
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,A
14,G:maj,B
14,G:maj,B
14,G:maj,A
14,G:maj,B
15,C:maj,C
16,C:maj,C
16,C:maj,A
16,C:maj,A#
16,C:maj,C
16,C:maj,C#
17,D:maj,D
17,D:maj,D
18,D:maj,D
18,D:maj,A
18,D:maj,A
18,D:maj,G#
18,D:maj,A
19,G:maj,D
20,G:maj,D
20,G:maj,D
20,G:maj,D
20,G:maj,D
20,G:maj,E
20,G:maj,G
21,C:maj,C
21,C:maj,C
22,C:maj,C
22,C:maj,E
22,C:maj,D
22,C:maj,D
22,C:maj,C
23,F:maj,A
24,F:maj,A
24,F:maj,C
24,F:maj,B
24,F:maj,C
24,F:maj,C#
25,D:maj,D
25,D:maj,D
26,D:maj,D
26,D:maj,A
26,D:maj,A
26,D:maj,G#
26,D:maj,A
27,G:maj,D
28,G:maj,D
28,G:maj,D
28,G:maj,D
28,G:maj,C#
28,G:maj,D
28,G:maj,D
29,F:maj,C
29,F:maj,C
30,C:maj,C
30,C:maj,F
30,C:maj,A
30,C:maj,F
30,C:maj,A
31,F:maj,F
