measure,chord,note
1,C:maj,G
1,C:maj,A
1,C:maj,G
1,C:maj,G
2,D:min,D
2,D:min,F
3,G:maj,G
3,G:maj,A
3,G:maj,G
3,G:maj,C
4,C:maj,C
5,C:maj,G
5,C:maj,A
5,C:maj,G
5,C:maj,G
6,D:min,D
6,D:min,F
7,G:maj,G
7,G:maj,A
7,G:maj,G
8,C:maj,C
9,D:min,D
9,D:min,D
9,D:min,D
9,D:min,E
9,D:min,F
10,D:min,F
10,D:min,E
10,D:min,D
10,D:min,D
10,D:min,E
10,D:min,F
11,F:maj,F
11,F:maj,F
11,F:maj,A
11,F:maj,G
12,C:maj,G
12,C:maj,F
12,C:maj,E
12,C:maj,G
12,C:maj,F
12,C:maj,E
13,E:min,G
13,E:min,G
13,E:min,A
13,E:min,E
14,E:min,E
14,E:min,D
14,E:min,D
15,A:min,C
15,A:min,A
15,A:min,C
15,A:min,C
15,A:min,D
15,A:min,C
16,C:maj,C
