measure,chord,note
1,C:maj,C
1,C:maj,G
1,C:maj,E
2,F:maj,D
2,F:maj,E
2,F:maj,F
2,F:maj,F
3,G:maj,B
3,G:maj,B
3,G:maj,G
3,G:maj,A
3,G:maj,G
4,C:maj,C
4,C:maj,C
4,C:maj,C
4,C:maj,C
5,C:maj,C
5,C:maj,G
5,C:maj,E
6,F:maj,D
6,F:maj,E
6,F:maj,F
6,F:maj,F
7,G:maj,G
7,G:maj,G
7,G:maj,B
7,G:maj,C
8,G:maj,D
8,G:maj,C
8,G:maj,B
8,G:maj,B
8,G:maj,G
8,G:maj,A
9,C:maj,C
9,C:maj,G
9,C:maj,E
10,F:maj,D
10,F:maj,E
10,F:maj,F
10,F:maj,F
10,F:maj,F
10,F:maj,D
11,G:maj,B
11,G:maj,B
11,G:maj,G
11,G:maj,A
11,G:maj,G
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,C
12,C:maj,E
12,C:maj,G
13,C:maj,E
13,C:maj,D
14,F:maj,C
14,F:maj,C
14,F:maj,C
14,F:maj,A
14,F:maj,A
15,G:maj,D
15,G:maj,C
15,G:maj,B
16,C:maj,C
17,C:maj,C
17,C:maj,C
17,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,C
18,C:maj,B
19,F:maj,A
19,F:maj,C
19,F:maj,A
19,F:maj,F
19,F:maj,F
20,G:maj,B
20,G:maj,B
20,G:maj,B
20,G:maj,A
20,G:maj,G
20,G:maj,G
21,C:maj,A
21,C:maj,C
21,C:maj,A
21,C:maj,G
21,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,E
22,C:maj,D
22,C:maj,C
22,C:maj,A
23,F:maj,C
23,F:maj,A
23,F:maj,C
23,F:maj,A
23,F:maj,A
24,G:maj,G
24,G:maj,G
24,G:maj,G
24,G:maj,G
24,G:maj,B
24,G:maj,B
24,G:maj,B
25,G:maj,D
25,G:maj,D
25,G:maj,D
25,G:maj,F
25,G:maj,F
25,G:maj,E
25,G:maj,D
