measure,chord,note
1,C:maj,E
1,C:maj,F
1,C:maj,G
2,C:maj,B
3,C:maj,A
3,C:maj,G
3,C:maj,A
4,C:maj,E
5,C:maj,G
5,C:maj,A
5,C:maj,C
6,C:maj,E
6,C:maj,D
6,C:maj,E
7,F:maj,A
8,A:maj,A
9,D:min,F
9,D:min,G
9,D:min,A
10,D:min,E
11,D:min,D
11,D:min,C#
11,D:min,D
12,D:min,A
13,G:maj,B
13,G:maj,C
13,G:maj,D
14,G:maj,B
14,G:maj,A
14,G:maj,B
15,C:maj,E
16,G:maj,G
16,G:maj,F
16,G:maj,D
17,C:maj,E
17,C:maj,F
17,C:maj,G
18,C:maj,B
19,C:maj,A
19,C:maj,G
19,C:maj,A
20,C:maj,E
21,A:min,G
21,A:min,A
21,A:min,C
22,C:maj,E
22,C:maj,D
22,C:maj,E
23,F:maj,A
24,A:maj,A
25,C:min,C
25,C:min,B
25,C:min,C
26,B:maj,B
27,C:maj,A
27,C:maj,F#
27,C:maj,G
28,A:maj,F
29,D:maj,E
29,D:maj,A
30,G:maj,E
30,G:maj,B
30,G:maj,E
31,C:maj,C
32,C:maj,C
33,C:maj,E
33,C:maj,E
33,C:maj,E
34,C:maj,E
35,D:maj,F#
35,D:maj,F#
36,G:maj,G
36,G:maj,G
36,G:maj,G
37,G:maj,C
38,G:maj,C
