measure,chord,note
1,C:maj,E
1,C:maj,D
1,C:maj,D
1,C:maj,E
1,C:maj,D
2,A:min,C
2,A:min,B
2,A:min,B
2,A:min,C
2,A:min,B
3,F:maj,A
3,F:maj,G
3,F:maj,G
3,F:maj,A
3,F:maj,G
4,G:maj,F
4,G:maj,G
4,G:maj,G
4,G:maj,G
4,G:maj,G
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
5,C:maj,C
6,C:maj,C
6,C:maj,D
6,C:maj,E
6,C:maj,C
7,A:min,A
7,A:min,A
7,A:min,A
7,A:min,A
8,A:min,A
8,A:min,B
8,A:min,C
8,A:min,A
9,F:maj,F
9,F:maj,F
9,F:maj,A
9,F:maj,A
10,G:maj,G
10,G:maj,G
10,G:maj,B
11,F:maj,A
11,F:maj,A
11,F:maj,C
11,F:maj,C
12,G:maj,B
12,G:maj,B
12,G:maj,D
12,G:maj,E
12,G:maj,F
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,F
13,C:maj,E
13,C:maj,G
14,F:maj,F
14,F:maj,F
14,F:maj,D
14,F:maj,E
15,F:min,F
15,F:min,F
15,F:min,F
15,F:min,E
15,F:min,D
15,F:min,F
16,C:maj,E
16,C:maj,D
16,C:maj,C
16,C:maj,E
16,C:maj,D
17,C:maj,G
17,C:maj,G
17,C:maj,G
17,C:maj,C
17,C:maj,C
17,C:maj,C
18,C:maj,E
18,C:maj,C
19,C:maj,G
19,C:maj,G
19,C:maj,G
19,C:maj,C
19,C:maj,C
19,C:maj,C
20,G:maj,D
21,C:maj,G
21,C:maj,G
21,C:maj,G
21,C:maj,C
21,C:maj,C
21,C:maj,C
22,C:maj,E
22,C:maj,C
22,C:maj,D
23,C:maj,E
23,C:maj,D
23,C:maj,C
23,C:maj,B
23,C:maj,C
23,C:maj,D
24,C:maj,C
25,F:maj,C
25,F:maj,C
25,F:maj,C
25,F:maj,F
25,F:maj,F
25,F:maj,F
26,F:maj,A
26,F:maj,A
27,D:min,A
27,D:min,A
27,D:min,G
27,D:min,F
27,D:min,F
27,D:min,E
28,G:maj,D
28,G:maj,G
29,C:maj,G
29,C:maj,G
29,C:maj,G
29,C:maj,C
29,C:maj,C
29,C:maj,C
30,C:maj,E
30,C:maj,C
30,C:maj,D
31,C:maj,E
31,C:maj,D
31,C:maj,C
31,C:maj,B
31,C:maj,C
31,C:maj,D
32,C:maj,C
33,C:maj,C
33,C:maj,C
33,C:maj,C
33,C:maj,C
33,C:maj,C
34,C:maj,C
34,C:maj,D
34,C:maj,E
34,C:maj,C
35,A:min,A
35,A:min,A
35,A:min,A
35,A:min,A
36,A:min,A
36,A:min,B
36,A:min,C
36,A:min,A
37,F:maj,F
37,F:maj,F
37,F:maj,A
37,F:maj,A
38,G:maj,G
38,G:maj,G
38,G:maj,B
39,F:maj,A
39,F:maj,A
39,F:maj,C
39,F:maj,C
40,G:maj,B
40,G:maj,B
40,G:maj,D
40,G:maj,E
40,G:maj,F
41,C:maj,G
41,C:maj,G
41,C:maj,G
41,C:maj,F
41,C:maj,E
41,C:maj,G
42,F:maj,F
42,F:maj,F
42,F:maj,D
42,F:maj,E
43,F:min,F
43,F:min,F
43,F:min,F
43,F:min,E
43,F:min,D
43,F:min,F
44,C:maj,E
44,C:maj,D
44,C:maj,C
44,C:maj,E
44,C:maj,D
45,C:maj,G
45,C:maj,G
45,C:maj,G
45,C:maj,C
45,C:maj,C
45,C:maj,C
46,C:maj,E
46,C:maj,C
47,C:maj,G
47,C:maj,G
47,C:maj,G
47,C:maj,C
47,C:maj,C
47,C:maj,C
48,G:maj,D
49,C:maj,G
49,C:maj,G
49,C:maj,G
49,C:maj,C
49,C:maj,C
49,C:maj,C
50,C:maj,E
50,C:maj,C
50,C:maj,D
51,C:maj,E
51,C:maj,D
51,C:maj,C
51,C:maj,B
51,C:maj,C
51,C:maj,D
52,C:maj,C
53,F:maj,C
53,F:maj,C
53,F:maj,C
53,F:maj,F
53,F:maj,F
53,F:maj,F
54,F:maj,A
54,F:maj,A
55,D:min,A
55,D:min,A
55,D:min,G
55,D:min,F
55,D:min,F
55,D:min,E
56,G:maj,D
56,G:maj,G
57,C:maj,G
57,C:maj,G
57,C:maj,G
57,C:maj,C
57,C:maj,C
57,C:maj,C
58,C:maj,E
58,C:maj,C
58,C:maj,D
59,C:maj,E
59,C:maj,D
59,C:maj,C
59,C:maj,B
59,C:maj,C
59,C:maj,D
60,C:maj,C
61,C:maj,C
61,C:maj,D
62,C:maj,E
62,C:maj,D
62,C:maj,C
62,C:maj,B
62,C:maj,C
62,C:maj,D
63,C:maj,C
63,C:maj,D
64,C:maj,E
64,C:maj,D
64,C:maj,C
64,C:maj,B
64,C:maj,C
64,C:maj,D
65,C:maj,C
65,C:maj,C
65,C:maj,C
65,C:maj,C
