measure,chord,note
0,C:maj,C
1,C:maj,D
1,C:maj,C
1,C:maj,D
1,C:maj,C
1,C:maj,D
1,C:maj,C
2,C:maj,D
2,C:maj,C
3,G:maj,B
3,G:maj,D
4,D:min,D
4,D:min,D
5,G:maj,E
5,G:maj,D
5,G:maj,E
5,G:maj,D
5,G:maj,E
5,G:maj,D
6,D:min,F
6,D:min,D
7,C:maj,C
7,C:maj,E
8,C:maj,E
9,C:maj,E
10,C:maj,G
10,C:maj,G
11,C:maj,G
12,F:maj,F
13,E:maj,E
13,E:maj,F#
13,E:maj,A
14,E:maj,G#
14,E:maj,E
14,E:maj,D
15,F:maj,D
16,F:maj,C
17,D:min,D
18,F#:min,D#
18,F#:min,E
19,C:maj,F
20,A:maj,E
20,A:maj,F
20,A:maj,E
21,D:maj,E
22,D:maj,C
23,D:min,D
24,G:maj,D
24,G:maj,C
25,D:maj,E
26,G:maj,D
27,G:maj,C
28,G:maj,C
