measure,chord,note
2,C:maj,C
2,C:maj,C
2,C:maj,C
2,C:maj,A
3,C:maj,G
3,C:maj,E
3,C:maj,C
3,C:maj,C
3,C:maj,E
4,F:maj,D
4,F:maj,C
4,F:maj,C
4,F:maj,A
5,C:maj,C
6,C:maj,C
6,C:maj,C
6,C:maj,C
6,C:maj,A
7,C:maj,G
7,C:maj,E
7,C:maj,C
8,D:maj,D
8,D:maj,F
8,D:maj,F#
8,D:maj,F#
9,G:maj,G
9,G:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,C
10,C:maj,A
11,C:maj,G
11,C:maj,E
11,C:maj,C
12,F:maj,D
12,F:maj,C
12,F:maj,D
12,F:maj,A
13,C:maj,C
13,C:maj,C
14,F:maj,C
14,F:maj,C
14,F:maj,C
14,F:maj,A
15,C:maj,G
15,C:maj,E
15,C:maj,C
15,C:maj,C
16,G:maj,E
16,G:maj,D
16,G:maj,B
16,G:maj,D
17,C:maj,C
18,C:maj,C
19,C:maj,C
19,C:maj,C
19,C:maj,C
19,C:maj,A
20,C:maj,G
20,C:maj,E
20,C:maj,C
21,F:maj,D
21,F:maj,C
21,F:maj,C
21,F:maj,A
22,C:maj,C
22,C:maj,C
23,C:maj,C
23,C:maj,C
23,C:maj,C
23,C:maj,A
24,C:maj,G
24,C:maj,E
24,C:maj,C
25,D:maj,D
25,D:maj,D
25,D:maj,F#
25,D:maj,F
26,G:maj,G
27,C:maj,C
27,C:maj,C
27,C:maj,A
28,C:maj,G
28,C:maj,E
28,C:maj,C
29,F:maj,C
29,F:maj,C
29,F:maj,D
29,F:maj,A
30,C:maj,C
30,C:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,C
31,F:maj,A
32,C:maj,G
32,C:maj,E
32,C:maj,C
32,C:maj,C
32,C:maj,C
33,G:maj,E
33,G:maj,D
33,G:maj,B
33,G:maj,D
34,C:maj,C
34,C:maj,C
