measure,chord,note
1,A:min,B
1,A:min,B
2,D:maj,B
2,D:maj,A#
2,D:maj,B
2,D:maj,A#
2,D:maj,F#
2,D:maj,G
3,G:maj,A
3,G:maj,A
3,G:maj,E
4,G:maj,E
5,G:min,A
5,G:min,A
6,C:maj,A
6,C:maj,G#
6,C:maj,A
6,C:maj,G#
6,C:maj,E
6,C:maj,F
7,F:maj,G
8,F:maj,G
9,F:min,D#
9,F:min,F
10,G#:min,F
10,G#:min,D#
10,G#:min,F
10,G#:min,D#
10,G#:min,F
11,D#:maj,G
11,D#:maj,G
11,D#:maj,D
12,D#:maj,D
12,D#:maj,D#
12,D#:maj,G
12,D#:maj,A#
13,A:min,D#
13,A:min,D#
13,A:min,G#
14,D:maj,G#
14,D:maj,A
15,B:min,D
16,E:maj,D
16,E:maj,E
16,E:maj,C
16,E:maj,D
17,A:min,B
17,A:min,B
18,D:maj,B
18,D:maj,A#
18,D:maj,B
18,D:maj,A#
18,D:maj,F#
18,D:maj,G
19,G:maj,A
19,G:maj,A
19,G:maj,E
20,G:maj,E
21,G:min,A
21,G:min,A
22,C:maj,A
22,C:maj,G#
22,C:maj,A
22,C:maj,G#
22,C:maj,E
22,C:maj,F
23,F:maj,G
24,F:maj,G
25,F:min,F
25,F:min,G
26,G#:min,G
26,G#:min,E
26,G#:min,F
26,G#:min,G#
26,G#:min,B
27,C:maj,D
27,C:maj,C
27,C:maj,D
28,D:maj,D
28,D:maj,B
28,D:maj,C
29,D:maj,D#
29,D:maj,D#
30,G:maj,D#
30,G:maj,E
30,G:maj,D#
30,G:maj,D
30,G:maj,A
30,G:maj,B
31,C:maj,C
