measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,D
1,C:maj,C
1,C:maj,G
2,G:maj,D
2,G:maj,D
2,G:maj,C
2,G:maj,B
3,C:maj,F
3,C:maj,F
3,C:maj,E
3,C:maj,D
3,C:maj,G
4,C:maj,E
4,C:maj,E
4,C:maj,D
4,C:maj,C
5,F:maj,E
5,F:maj,E
5,F:maj,D
5,F:maj,C
5,F:maj,D
5,F:maj,C
6,C:maj,A
6,C:maj,A
6,C:maj,A
6,C:maj,F
7,C:maj,G
7,C:maj,C
7,C:maj,E
7,C:maj,G
8,C:maj,G
8,C:maj,C
8,C:maj,E
8,C:maj,G
9,G:maj,G
9,G:maj,C
9,G:maj,E
9,G:maj,G
9,G:maj,F
9,G:maj,E
10,C:maj,G
10,C:maj,F
10,C:maj,D
10,C:maj,C
11,C:maj,G
12,G:maj,E
12,G:maj,E
12,G:maj,E
12,G:maj,D
12,G:maj,C
12,G:maj,C
12,G:maj,E
13,G:maj,D
13,G:maj,C
13,G:maj,B
13,G:maj,C
13,G:maj,D
13,G:maj,D
13,G:maj,G
14,C:maj,F
14,C:maj,F
14,C:maj,F
14,C:maj,E
14,C:maj,D
14,C:maj,D
14,C:maj,F
15,C:maj,E
15,C:maj,D
15,C:maj,C
15,C:maj,D
15,C:maj,E
15,C:maj,E
15,C:maj,G
16,F:maj,G
16,F:maj,G
16,F:maj,G
16,F:maj,G
16,F:maj,G
16,F:maj,F
16,F:maj,E
17,C:maj,D
17,C:maj,C#
17,C:maj,D
17,C:maj,E
17,C:maj,F
17,C:maj,F
17,C:maj,F
18,G:maj,E
18,G:maj,E
18,G:maj,D
18,G:maj,D
18,G:maj,C
18,G:maj,E
18,G:maj,C
19,C:maj,D
19,C:maj,C
19,C:maj,B
19,C:maj,D
19,C:maj,C
