measure,chord,note
2,G:maj,G
2,G:maj,G
2,G:maj,A
2,G:maj,A
3,G:maj,C
3,G:maj,B
3,G:maj,G
3,G:maj,D
4,D:maj,G
4,D:maj,G
4,D:maj,A
4,D:maj,A
5,G:maj,B
5,G:maj,D
6,D:maj,G
6,D:maj,G
6,D:maj,A
6,D:maj,A
7,G:maj,C
7,G:maj,B
7,G:maj,G
7,G:maj,D
8,D:maj,G
8,D:maj,G
8,D:maj,G
8,D:maj,A
9,G:maj,G
9,G:maj,G
10,C:maj,C
10,C:maj,C
10,C:maj,D
10,C:maj,D
11,C:maj,F
11,C:maj,E
11,C:maj,C
11,C:maj,G
12,A#:maj,C
12,A#:maj,C
12,A#:maj,D
12,A#:maj,D
13,C:maj,E
13,C:maj,G
14,G#:maj,C
14,G#:maj,C
14,G#:maj,D
14,G#:maj,D
15,C:maj,F
15,C:maj,E
15,C:maj,D
15,C:maj,C
16,G:maj,C
16,G:maj,C
16,G:maj,D
16,G:maj,D
17,C:maj,C
17,C:maj,F
17,C:maj,G
18,F:maj,A
18,F:maj,A#
18,F:maj,A
19,F:maj,A
19,F:maj,F
19,F:maj,A#
19,F:maj,A
20,F:maj,A
20,F:maj,F
20,F:maj,A#
20,F:maj,A#
20,F:maj,A
21,C:maj,G
21,C:maj,G
21,C:maj,G
22,C:maj,G
22,C:maj,A
22,C:maj,A
22,C:maj,A
23,C:maj,G
23,C:maj,C
23,C:maj,A
23,C:maj,A
24,C:maj,G
24,C:maj,A
24,C:maj,G
24,C:maj,E
25,F:maj,F
25,F:maj,A
25,F:maj,A#
26,F:maj,C
26,F:maj,D
26,F:maj,C
27,F:maj,C
27,F:maj,A
27,F:maj,D
27,F:maj,C
28,F:maj,C
28,F:maj,A
28,F:maj,D
28,F:maj,D
28,F:maj,C
29,C:maj,A#
29,C:maj,A#
29,C:maj,A#
30,C:maj,A#
30,C:maj,C
30,C:maj,C
30,C:maj,C
31,C:maj,A#
31,C:maj,G
31,C:maj,C
31,C:maj,C
32,C:maj,A#
32,C:maj,C
32,C:maj,A#
32,C:maj,G
33,F:maj,F
34,D:maj,D
35,F:maj,F
