measure,chord,note
1,D:min,D
1,D:min,E
1,D:min,F
2,G:maj,A
2,G:maj,G
2,G:maj,F
3,C:maj,E
3,C:maj,F
3,C:maj,G
4,A:min,C
5,D:min,D
5,D:min,E
5,D:min,F
6,G:maj,A
6,G:maj,G
6,G:maj,A
7,C:maj,E
8,C:maj,E
9,D:min,F
9,D:min,G
9,D:min,A
10,D#:min,A
10,D#:min,B
10,D#:min,B
11,C:maj,B
11,C:maj,C
11,C:maj,A
12,A:min,E
13,D:min,C
13,D:min,D
13,D:min,E
14,D:min,F
14,D:min,G
15,D:min,A
15,D:min,A
16,G:maj,A
16,G:maj,B
16,G:maj,D
17,C:maj,C
18,C:maj,C
19,C:maj,C
20,C:maj,C
21,D:min,D
21,D:min,E
21,D:min,F
22,G:maj,A
22,G:maj,G
22,G:maj,F
23,C:maj,E
23,C:maj,F
23,C:maj,G
24,A:min,C
25,D:min,D
25,D:min,E
25,D:min,F
26,G:maj,A
26,G:maj,G
26,G:maj,A
27,C:maj,E
28,C:maj,E
29,D:min,F
29,D:min,G
29,D:min,A
30,D#:min,A
30,D#:min,B
30,D#:min,B
31,C:maj,B
31,C:maj,C
31,C:maj,G
32,A:min,E
33,D:min,C
33,D:min,D
33,D:min,E
34,D:min,F
34,D:min,G
35,D:min,A
35,D:min,A
36,G:maj,A
36,G:maj,B
36,G:maj,D
37,C:maj,C
38,C:maj,C
39,C:maj,C
40,C:maj,C
40,C:maj,C
40,C:maj,C
41,F:min,C
42,A#:maj,C
42,A#:maj,A#
42,A#:maj,A#
43,D#:maj,A#
44,D#:maj,D#
44,D#:maj,D#
45,F:min,D#
45,F:min,D#
46,F:min,D#
46,F:min,F
47,F:min,G
48,F:min,G
48,F:min,C
48,F:min,C
49,A:min,C
50,A:min,C
50,A:min,C
50,A:min,D
53,A:min,D
53,A:min,D
53,A:min,D
54,D:maj,D
54,D:maj,D
54,D:maj,D
55,D:min,D
56,G:maj,D
57,D:min,D
57,D:min,E
57,D:min,F
58,G:maj,A
58,G:maj,G
58,G:maj,F
59,C:maj,E
59,C:maj,F
59,C:maj,G
60,A:min,C
61,D:min,D
61,D:min,E
61,D:min,F
62,G:maj,A
62,G:maj,G
62,G:maj,A
63,C:maj,E
64,C:maj,E
65,D:min,F
65,D:min,G
65,D:min,A
66,D#:min,A
66,D#:min,B
66,D#:min,B
66,D#:min,B
67,C:maj,B
67,C:maj,C
67,C:maj,G
68,A:min,E
69,D:min,C
69,D:min,D
69,D:min,E
70,D:min,F
70,D:min,G
71,D:min,A
71,D:min,A
72,D:min,A
72,D:min,B
72,D:min,D
73,C:maj,C
74,C:maj,C
75,C:maj,C
76,C:maj,C
