measure,chord,note
2,C:maj,E
3,C:maj,C
3,C:maj,D
3,C:maj,E
3,C:maj,D
3,C:maj,C
4,F:maj,D
4,F:maj,C
4,F:maj,C
4,F:maj,F
4,F:maj,A
5,C:maj,G
5,C:maj,G
5,C:maj,A
5,C:maj,C
6,C:maj,E
7,C:maj,G
7,C:maj,E
7,C:maj,E
7,C:maj,F
7,C:maj,E
8,G:maj,E
8,G:maj,D
9,G:maj,G
9,G:maj,G
9,G:maj,A
9,G:maj,C
10,C:maj,E
11,C:maj,C
11,C:maj,D
11,C:maj,E
11,C:maj,D
11,C:maj,C
12,F:maj,D
12,F:maj,C
12,F:maj,C
12,F:maj,F
12,F:maj,A
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,A
13,C:maj,C
14,G:maj,E
15,G:maj,G
15,G:maj,E
15,G:maj,D
15,G:maj,C
15,G:maj,A
16,C:maj,C
17,C:maj,C
17,C:maj,E
17,C:maj,G
18,C:maj,G
18,C:maj,G
18,C:maj,G
18,C:maj,G
19,C:maj,A
19,C:maj,G
19,C:maj,E
19,C:maj,D
20,F:maj,C
20,F:maj,C
20,F:maj,C
20,F:maj,A
21,F:maj,F
21,F:maj,E
21,F:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,G
22,C:maj,G
23,C:maj,A
23,C:maj,G
23,C:maj,E
23,C:maj,F
23,C:maj,E
24,D:maj,D
25,G:maj,E
25,G:maj,G
26,C:maj,G
26,C:maj,G
26,C:maj,G
26,C:maj,G
27,C:maj,A
27,C:maj,G
27,C:maj,E
27,C:maj,D
27,C:maj,C
27,C:maj,A
28,F:maj,C
28,F:maj,C
28,F:maj,C
28,F:maj,A
29,F:maj,F
29,F:maj,E
29,F:maj,G
30,C:maj,G
30,C:maj,E
30,C:maj,D
30,C:maj,C
30,C:maj,A
31,G:maj,G
31,G:maj,G
31,G:maj,E
31,G:maj,D
31,G:maj,C
32,C:maj,D
32,C:maj,C
33,C:maj,C
33,C:maj,G
33,C:maj,A
33,C:maj,C
34,C:maj,D
34,C:maj,C
34,C:maj,E
34,C:maj,G
35,C:maj,D
35,C:maj,C
36,F:maj,E
36,F:maj,G
37,G:maj,G
37,G:maj,E
37,G:maj,D
37,G:maj,C
37,G:maj,A
38,G:maj,G
38,G:maj,G
38,G:maj,E
38,G:maj,G
38,G:maj,E
39,C:maj,D
39,C:maj,C
40,C:maj,C
