measure,chord,note
2,C:maj,C
2,C:maj,A
2,C:maj,G
2,C:maj,G
2,C:maj,E
2,C:maj,D
2,C:maj,C
3,F:maj,D
4,C:maj,D
4,C:maj,D
4,C:maj,D
4,C:maj,F
4,C:maj,E
4,C:maj,C
5,C:maj,C
5,C:maj,G
6,C:maj,C
6,C:maj,A
6,C:maj,G
6,C:maj,G
6,C:maj,E
6,C:maj,D
6,C:maj,C
7,F:maj,D
8,C:maj,D
8,C:maj,D
8,C:maj,D
8,C:maj,F
8,C:maj,E
8,C:maj,G
9,C:maj,G
9,C:maj,E
10,E:min,G
10,E:min,E
10,E:min,F#
10,E:min,G
10,E:min,E
10,E:min,F#
11,E:min,G
11,E:min,G
12,A:maj,B
12,A:maj,A
12,A:maj,G
12,A:maj,B
13,A:maj,B
13,A:maj,G
14,A:min,E
14,A:min,G
14,A:min,B
14,A:min,A
15,D:maj,A
15,D:maj,F#
15,D:maj,D
16,G:maj,G
16,G:maj,F
16,G:maj,E
16,G:maj,D
17,F:maj,D
18,F:maj,E
18,F:maj,F
18,F:maj,A
19,C:maj,G
20,E:min,G
20,E:min,E
20,E:min,E
20,E:min,F
20,E:min,G
21,G:maj,G
22,A:maj,G
22,A:maj,E
22,A:maj,F
22,A:maj,A
23,F:maj,F
23,F:maj,F
24,G:maj,F
24,G:maj,D
24,G:maj,E
24,G:maj,F
25,C:maj,G
26,C:maj,G
26,C:maj,F#
26,C:maj,B
26,C:maj,A
27,D:min,G
28,G:maj,G
28,G:maj,D
28,G:maj,D
28,G:maj,D
28,G:maj,E
28,G:maj,F
29,C:maj,G
30,C:maj,G
30,C:maj,C
30,C:maj,B
30,C:maj,A
31,D:min,F
31,D:min,F
32,G:maj,F
32,G:maj,D
32,G:maj,D
32,G:maj,C
32,G:maj,B
33,C:maj,E
34,C:maj,E
34,C:maj,E
34,C:maj,F
34,C:maj,G
35,C:maj,G
36,E:min,G
36,E:min,E
36,E:min,E
36,E:min,F
36,E:min,G
37,G:maj,G
38,A:maj,G
38,A:maj,E
38,A:maj,F
38,A:maj,G
39,F:maj,F
39,F:maj,F
40,G:maj,F
40,G:maj,D
40,G:maj,D
40,G:maj,E
40,G:maj,F
41,C:maj,G
42,C:maj,G
42,C:maj,E
42,C:maj,F
42,C:maj,G
43,C:maj,G
43,C:maj,G
44,E:min,G
44,E:min,G
44,E:min,G
44,E:min,E
44,E:min,G
45,A:maj,B
46,A:maj,B
46,A:maj,A
46,A:maj,A
46,A:maj,G#
46,A:maj,A
47,D:min,C
48,G:maj,C
48,G:maj,B
48,G:maj,C
48,G:maj,D
49,C:maj,C
50,D:min,E
50,D:min,F
50,D:min,G
51,C:maj,C
52,C:maj,C
