measure,chord,note
1,C:maj,E
1,C:maj,E
1,C:maj,G
1,C:maj,E
2,F:maj,F
2,F:maj,F
2,F:maj,A
2,F:maj,F
3,C:maj,E
3,C:maj,E
3,C:maj,G
3,C:maj,E
4,G:maj,D
5,C:maj,E
5,C:maj,E
5,C:maj,G
5,C:maj,E
6,F:maj,F
6,F:maj,F
6,F:maj,A
6,F:maj,F
7,G:maj,G
7,G:maj,G
7,G:maj,B
7,G:maj,G
8,C:maj,C
9,A:min,C
9,A:min,C
9,A:min,C
10,E:min,B
10,E:min,A
10,E:min,G
11,D:maj,A
11,D:maj,B
11,D:maj,A
11,D:maj,G
12,D:maj,A
12,D:maj,B
12,D:maj,A
12,D:maj,G
13,A:min,C
13,A:min,C
13,A:min,C
14,E:min,B
14,E:min,A
14,E:min,G
15,D:maj,A
15,D:maj,B
15,D:maj,A
15,D:maj,G
16,D:maj,A
16,D:maj,B
16,D:maj,A
16,D:maj,G
17,C:maj,E
17,C:maj,E
17,C:maj,G
17,C:maj,E
18,F:maj,F
18,F:maj,F
18,F:maj,A
18,F:maj,F
19,C:maj,E
19,C:maj,E
19,C:maj,G
19,C:maj,E
20,G:maj,D
21,C:maj,E
21,C:maj,E
21,C:maj,G
21,C:maj,E
22,F:maj,F
22,F:maj,F
22,F:maj,A
22,F:maj,F
23,G:maj,G
23,G:maj,G
23,G:maj,B
23,G:maj,G
24,C:maj,C
25,F:maj,A#
25,F:maj,A#
25,F:maj,A
25,F:maj,F
26,C:maj,A
26,C:maj,A
26,C:maj,G
26,C:maj,E
27,G:maj,G
27,G:maj,G
27,G:maj,F
27,G:maj,D
28,C:maj,C
